,Temperature,Humidity,Pressure,Co2,DateTime,Time,State
0,35.22,42.5,917.9,562.75,2022-12-08 00:00:14,00:00,0
1,35.255,54.5,917.9,564.75,2022-12-08 00:01:30,00:01,0
2,35.27,44.25,917.9,572.5,2022-12-08 00:02:45,00:02,0
3,35.25,44.0,917.875,571.0,2022-12-08 00:04:01,00:04,0
4,35.25,46.0,917.9,554.75,2022-12-08 00:05:16,00:05,0
5,35.23,48.75,917.825,554.75,2022-12-08 00:06:32,00:06,0
6,35.23,48.25,917.8499999999999,569.0,2022-12-08 00:07:47,00:07,0
7,35.2075,51.0,917.825,568.25,2022-12-08 00:09:03,00:09,0
8,35.224999999999994,35.0,917.8,565.25,2022-12-08 00:10:18,00:10,0
9,35.23,44.25,917.825,561.0,2022-12-08 00:11:33,00:11,0
10,35.23,40.0,917.8,564.75,2022-12-08 00:12:49,00:12,0
11,35.23,45.75,917.8,574.0,2022-12-08 00:14:04,00:14,0
12,35.215,46.25,917.8,563.25,2022-12-08 00:15:20,00:15,0
13,35.21,51.75,917.8,572.5,2022-12-08 00:16:35,00:16,0
14,35.21,39.0,917.8,572.25,2022-12-08 00:17:51,00:17,0
15,35.185,41.75,917.8,556.5,2022-12-08 00:19:06,00:19,0
16,35.23,51.0,917.7749999999999,554.25,2022-12-08 00:20:22,00:20,0
17,35.23,45.5,917.75,558.5,2022-12-08 00:21:37,00:21,0
18,35.23,57.25,917.7,559.5,2022-12-08 00:22:53,00:22,0
19,35.215,38.5,917.7249999999999,549.5,2022-12-08 00:24:08,00:24,0
20,35.21,38.75,917.7249999999999,554.25,2022-12-08 00:25:24,00:25,0
21,35.195,49.75,917.7249999999999,561.0,2022-12-08 00:26:39,00:26,0
22,35.17,45.5,917.7,563.75,2022-12-08 00:27:55,00:27,0
23,35.175,43.25,917.7,562.5,2022-12-08 00:29:10,00:29,0
24,35.21,44.5,917.625,559.5,2022-12-08 00:30:25,00:30,0
25,35.21,41.5,917.6500000000001,559.75,2022-12-08 00:31:41,00:31,0
26,35.21,43.75,917.6,563.5,2022-12-08 00:32:56,00:32,0
27,35.205,45.5,917.6,567.25,2022-12-08 00:34:12,00:34,0
28,35.2,50.5,917.6,562.0,2022-12-08 00:35:27,00:35,0
29,35.18,46.0,917.6,558.75,2022-12-08 00:36:43,00:36,0
30,35.17,45.0,917.6,559.0,2022-12-08 00:37:58,00:37,0
31,35.195,40.25,917.6,556.25,2022-12-08 00:39:14,00:39,0
32,35.2075,47.0,917.6,558.25,2022-12-08 00:40:29,00:40,0
33,35.205,44.25,917.6,564.0,2022-12-08 00:41:45,00:41,0
34,35.21,53.75,917.6,559.5,2022-12-08 00:43:00,00:43,0
35,35.205,47.25,917.6,565.25,2022-12-08 00:44:15,00:44,0
36,35.2,48.75,917.55,559.25,2022-12-08 00:45:31,00:45,0
37,35.18,37.75,917.525,560.0,2022-12-08 00:46:46,00:46,0
38,35.16,38.75,917.5,554.75,2022-12-08 00:48:02,00:48,0
39,35.185,47.75,917.55,560.0,2022-12-08 00:49:17,00:49,0
40,35.2,54.0,917.575,560.5,2022-12-08 00:50:32,00:50,0
41,35.2,46.25,917.5749999999999,555.5,2022-12-08 00:51:48,00:51,0
42,35.2,49.5,917.575,553.25,2022-12-08 00:53:03,00:53,0
43,35.2,43.5,917.55,555.0,2022-12-08 00:54:19,00:54,0
44,35.185,46.5,917.55,554.25,2022-12-08 00:55:34,00:55,0
45,35.18,46.75,917.5749999999999,563.5,2022-12-08 00:56:49,00:56,0
46,35.16,39.25,917.55,556.75,2022-12-08 00:58:05,00:58,0
47,35.2025,42.5,917.5749999999999,551.0,2022-12-08 00:59:20,00:59,0
48,35.21,48.5,917.575,554.75,2022-12-08 01:00:36,01:00,0
49,35.21,54.25,917.5749999999999,554.5,2022-12-08 01:01:51,01:01,0
50,35.2,48.75,917.6,539.75,2022-12-08 01:03:07,01:03,0
51,35.2,49.0,917.55,544.75,2022-12-08 01:04:22,01:04,0
52,35.18,43.75,917.6,560.75,2022-12-08 01:05:37,01:05,0
53,35.16,46.0,917.6,562.5,2022-12-08 01:06:53,01:06,0
54,35.144999999999996,49.25,917.5749999999999,556.75,2022-12-08 01:08:08,01:08,0
55,35.18,48.0,917.5749999999999,554.5,2022-12-08 01:09:24,01:09,0
56,35.17,37.0,917.5,551.25,2022-12-08 01:10:39,01:10,0
57,35.16,52.0,917.525,550.75,2022-12-08 01:11:55,01:11,0
58,35.16,47.5,917.6,556.0,2022-12-08 01:13:10,01:13,0
59,35.155,43.25,917.525,552.25,2022-12-08 01:14:26,01:14,0
60,35.14,51.25,917.525,552.0,2022-12-08 01:15:41,01:15,0
61,35.13,43.25,917.55,552.0,2022-12-08 01:16:57,01:16,0
62,35.1325,47.75,917.55,558.25,2022-12-08 01:18:12,01:18,0
63,35.16,45.75,917.525,550.75,2022-12-08 01:19:27,01:19,0
64,35.16,45.0,917.5,552.25,2022-12-08 01:20:43,01:20,0
65,35.16,39.5,917.5,553.25,2022-12-08 01:21:58,01:21,0
66,35.16,47.0,917.525,551.75,2022-12-08 01:23:14,01:23,0
67,35.16,46.75,917.525,552.0,2022-12-08 01:24:29,01:24,0
68,35.14,43.75,917.525,549.5,2022-12-08 01:25:44,01:25,0
69,35.1325,46.0,917.525,560.5,2022-12-08 01:27:00,01:27,0
70,35.122499999999995,56.75,917.525,551.75,2022-12-08 01:28:15,01:28,0
71,35.14,47.5,917.6,549.5,2022-12-08 01:29:31,01:29,0
72,35.14,35.0,917.55,552.25,2022-12-08 01:30:46,01:30,0
73,35.1325,41.75,917.6,550.5,2022-12-08 01:32:01,01:32,0
74,35.1225,42.5,917.55,543.0,2022-12-08 01:33:17,01:33,0
75,35.12,41.5,917.55,538.25,2022-12-08 01:34:32,01:34,0
76,35.1125,47.25,917.525,548.75,2022-12-08 01:35:48,01:35,0
77,35.095,54.5,917.55,540.0,2022-12-08 01:37:03,01:37,0
78,35.13,45.5,917.55,543.5,2022-12-08 01:38:19,01:38,0
79,35.14,53.75,917.55,557.0,2022-12-08 01:39:34,01:39,0
80,35.14,43.0,917.525,556.75,2022-12-08 01:40:50,01:40,0
81,35.14,40.25,917.5,552.75,2022-12-08 01:42:05,01:42,0
82,35.127500000000005,53.75,917.475,549.5,2022-12-08 01:43:21,01:43,0
83,35.11749999999999,44.5,917.5,554.5,2022-12-08 01:44:36,01:44,0
84,35.105000000000004,49.75,917.5,539.0,2022-12-08 01:45:52,01:45,0
