,Temperature,Humidity,Pressure,Co2,DateTime,Time,State
0,35.9975,47.75,920.7,444.25,2022-11-28 06:01:55,06:01,0
1,36.085,46.0,920.7,442.0,2022-11-28 06:03:11,06:03,0
2,36.115,45.5,920.7,441.25,2022-11-28 06:04:26,06:04,0
3,36.12,42.25,920.7,437.5,2022-11-28 06:05:42,06:05,0
4,36.095,45.75,920.7,438.75,2022-11-28 06:06:57,06:06,0
5,36.105000000000004,40.0,920.7,435.5,2022-11-28 06:08:12,06:08,0
6,36.085,40.25,920.7,437.0,2022-11-28 06:09:28,06:09,0
7,36.07,47.25,920.7,437.0,2022-11-28 06:10:43,06:10,0
8,36.11,48.5,920.7,443.75,2022-11-28 06:11:58,06:11,0
9,36.14,49.75,920.7750000000001,440.25,2022-11-28 06:13:14,06:13,0
10,36.14,49.5,920.8,447.25,2022-11-28 06:14:29,06:14,0
11,36.1375,51.5,920.8,449.0,2022-11-28 06:15:45,06:15,0
12,36.13,39.0,920.8249999999999,442.25,2022-11-28 06:17:00,06:17,0
13,36.12,48.5,920.8499999999999,449.0,2022-11-28 06:18:16,06:18,0
14,36.1,41.5,920.8499999999999,454.5,2022-11-28 06:19:31,06:19,0
15,36.09,46.25,920.8,455.0,2022-11-28 06:20:46,06:20,0
16,36.1275,37.25,920.8499999999999,464.5,2022-11-28 06:22:02,06:22,0
17,36.14,46.75,920.8499999999999,467.75,2022-11-28 06:23:17,06:23,0
18,36.14,50.25,920.9,470.25,2022-11-28 06:24:33,06:24,0
19,36.14,41.75,920.825,452.5,2022-11-28 06:25:48,06:25,0
20,36.1325,40.0,920.8,460.75,2022-11-28 06:27:03,06:27,0
21,36.11,40.75,920.8,462.0,2022-11-28 06:28:19,06:28,0
22,36.09,44.0,920.8,462.5,2022-11-28 06:29:34,06:29,0
23,36.09,49.5,920.8,466.0,2022-11-28 06:30:50,06:30,0
24,36.13,45.75,920.825,460.25,2022-11-28 06:32:05,06:32,0
25,36.135000000000005,47.5,920.825,470.0,2022-11-28 06:33:21,06:33,0
26,36.13,53.25,920.9,481.25,2022-11-28 06:34:36,06:34,0
27,36.13,39.5,920.875,501.0,2022-11-28 06:35:52,06:35,0
28,36.125,49.0,920.825,502.75,2022-11-28 06:37:07,06:37,0
29,36.1025,53.25,920.8,512.0,2022-11-28 06:38:23,06:38,0
30,36.095,52.0,920.8,509.5,2022-11-28 06:39:38,06:39,0
31,36.1325,44.0,920.8,518.25,2022-11-28 06:40:53,06:40,0
32,36.185,45.75,920.7250000000001,530.75,2022-11-28 06:42:09,06:42,0
33,36.2,33.25,920.7749999999999,536.0,2022-11-28 06:43:25,06:43,0
34,36.21,50.75,920.8,540.25,2022-11-28 06:44:40,06:44,0
35,36.224999999999994,43.75,920.7750000000001,544.0,2022-11-28 06:45:55,06:45,0
36,36.23,46.0,920.7750000000001,547.0,2022-11-28 06:47:11,06:47,0
37,36.23499999999999,40.0,920.7750000000001,562.75,2022-11-28 06:48:26,06:48,0
38,36.25,42.25,920.8249999999999,557.75,2022-11-28 06:49:42,06:49,0
39,36.31,41.5,920.875,574.0,2022-11-28 06:50:57,06:50,0
40,36.35,44.25,920.8499999999999,582.75,2022-11-28 06:52:12,06:52,0
41,36.375,49.0,920.825,586.5,2022-11-28 06:53:28,06:53,0
42,36.3875,44.0,920.8,594.0,2022-11-28 06:54:43,06:54,0
43,36.39,42.25,920.8,590.25,2022-11-28 06:55:59,06:55,0
44,36.42,44.5,920.8,607.5,2022-11-28 06:57:14,06:57,0
45,36.43,51.0,920.8,640.5,2022-11-28 06:58:29,06:58,0
46,36.464999999999996,50.5,920.7750000000001,652.5,2022-11-28 06:59:45,06:59,0
47,36.5325,48.75,920.8,680.75,2022-11-28 07:01:00,07:01,0
48,36.55,49.5,920.8,694.25,2022-11-28 07:02:16,07:02,0
49,36.575,33.75,920.8,710.0,2022-11-28 07:03:31,07:03,0
50,36.61,41.5,920.825,729.75,2022-11-28 07:04:46,07:04,0
51,36.62,45.5,920.8,751.25,2022-11-28 07:06:02,07:06,0
52,36.635000000000005,46.0,920.8499999999999,769.25,2022-11-28 07:07:17,07:07,0
53,36.63250000000001,48.5,920.9,771.75,2022-11-28 07:08:33,07:08,0
54,36.66,52.0,920.9,769.0,2022-11-28 07:09:48,07:09,0
55,36.714999999999996,43.25,920.9,766.75,2022-11-28 07:11:04,07:11,0
56,36.739999999999995,45.0,920.9,794.75,2022-11-28 07:12:19,07:12,0
57,36.78,41.0,920.9,800.75,2022-11-28 07:13:34,07:13,1
58,36.795,51.75,920.9,812.75,2022-11-28 07:14:50,07:14,1
59,36.7975,41.25,920.9,831.25,2022-11-28 07:16:05,07:16,1
60,36.8,50.0,920.8499999999999,824.75,2022-11-28 07:17:21,07:17,1
61,36.809999999999995,46.5,920.825,837.0,2022-11-28 07:18:36,07:18,1
62,36.8725,53.5,920.8499999999999,818.75,2022-11-28 07:19:52,07:19,1
63,36.905,40.75,920.8249999999999,823.25,2022-11-28 07:21:07,07:21,1
64,36.93,41.5,920.9,821.25,2022-11-28 07:22:22,07:22,1
65,36.96,40.0,920.9,839.5,2022-11-28 07:23:38,07:23,1
66,36.98,44.0,920.9,835.25,2022-11-28 07:24:53,07:24,1
67,36.98,50.0,920.9,825.25,2022-11-28 07:26:09,07:26,1
68,36.974999999999994,45.0,920.9,826.25,2022-11-28 07:27:24,07:27,1
69,37.0075,43.5,920.9,855.0,2022-11-28 07:28:39,07:28,1
70,37.055,43.0,920.9,870.75,2022-11-28 07:29:55,07:29,1
71,37.085,47.75,920.975,906.75,2022-11-28 07:31:10,07:31,1
72,37.09,38.75,921.0,920.5,2022-11-28 07:32:26,07:32,1
73,37.1125,46.75,921.0,918.5,2022-11-28 07:33:41,07:33,1
74,37.1125,46.75,921.0,919.75,2022-11-28 07:34:57,07:34,1
75,37.095,47.75,921.0,916.0,2022-11-28 07:36:12,07:36,1
76,37.1,47.0,921.0,925.0,2022-11-28 07:37:27,07:37,1
77,37.152499999999996,47.75,921.0,927.75,2022-11-28 07:38:43,07:38,1
78,37.18,51.25,921.0,946.75,2022-11-28 07:39:58,07:39,1
79,37.18,44.0,921.0,955.25,2022-11-28 07:41:14,07:41,1
80,37.185,45.75,921.0,952.5,2022-11-28 07:42:29,07:42,1
81,37.2,48.5,921.0,960.75,2022-11-28 07:43:45,07:43,1
82,37.2025,43.75,921.0,951.75,2022-11-28 07:45:00,07:45,1
83,37.1625,49.0,920.95,947.25,2022-11-28 07:46:16,07:46,1
84,37.2425,42.5,920.95,957.25,2022-11-28 07:47:31,07:47,1
85,37.292500000000004,50.0,921.0,962.5,2022-11-28 07:48:47,07:48,1
86,37.3,37.25,921.0,984.5,2022-11-28 07:50:02,07:50,1
87,37.32,41.0,920.925,989.5,2022-11-28 07:51:18,07:51,1
88,37.32,52.0,921.0,996.0,2022-11-28 07:52:33,07:52,1
89,37.32,49.5,921.0,1008.0,2022-11-28 07:53:48,07:53,1
90,37.3,47.0,921.0,1015.25,2022-11-28 07:55:04,07:55,1
91,37.3,42.0,920.975,1030.5,2022-11-28 07:56:19,07:56,1
92,37.345,44.75,920.975,1028.25,2022-11-28 07:57:35,07:57,1
93,37.375,50.75,920.9,1038.5,2022-11-28 07:58:50,07:58,1
94,37.39,48.75,920.9,1054.25,2022-11-28 08:00:06,08:00,1
95,37.394999999999996,40.25,920.9,1066.5,2022-11-28 08:01:21,08:01,1
96,37.41,41.5,920.9,1077.5,2022-11-28 08:02:36,08:02,1
97,37.4,46.25,920.9,1085.75,2022-11-28 08:03:52,08:03,1
98,37.4,42.75,920.9,1089.0,2022-11-28 08:05:07,08:05,1
99,37.45,47.5,920.9,1103.0,2022-11-28 08:06:23,08:06,2
100,37.489999999999995,37.75,920.8499999999999,1123.0,2022-11-28 08:07:38,08:07,2
101,37.510000000000005,42.0,920.9,1146.75,2022-11-28 08:08:54,08:08,2
102,37.525000000000006,48.5,920.9,1134.5,2022-11-28 08:10:09,08:10,2
103,37.495,39.0,920.9,1068.5,2022-11-28 08:11:25,08:11,1
104,37.445,42.75,920.9250000000001,993.75,2022-11-28 08:12:40,08:12,1
105,37.3825,50.5,920.975,906.75,2022-11-28 08:13:55,08:13,1
106,37.364999999999995,50.0,920.975,852.5,2022-11-28 08:15:11,08:15,1
107,37.345,47.5,920.975,791.25,2022-11-28 08:16:26,08:16,0
108,37.2975,46.0,921.0,719.5,2022-11-28 08:17:42,08:17,0
109,37.260000000000005,52.75,921.0,661.0,2022-11-28 08:18:57,08:18,0
110,37.22,32.0,920.95,616.5,2022-11-28 08:20:13,08:20,0
111,37.175,47.25,921.0,586.0,2022-11-28 08:21:28,08:21,0
112,37.1025,46.0,921.0,585.5,2022-11-28 08:22:44,08:22,0
113,37.065,42.5,921.0,596.75,2022-11-28 08:23:59,08:23,0
114,37.07,44.0,921.0,616.0,2022-11-28 08:25:15,08:25,0
115,37.07,47.5,921.0,652.5,2022-11-28 08:26:30,08:26,0
116,37.07,41.25,921.0,703.5,2022-11-28 08:27:46,08:27,0
117,37.09,47.25,921.0,740.0,2022-11-28 08:29:01,08:29,0
118,37.09,46.5,921.0,761.75,2022-11-28 08:30:17,08:30,0
119,37.08,53.75,920.975,769.75,2022-11-28 08:31:32,08:31,0
120,37.095,52.5,921.0,793.0,2022-11-28 08:32:48,08:32,0
121,37.144999999999996,40.75,921.0,805.75,2022-11-28 08:34:03,08:34,1
122,37.16,47.0,920.975,831.25,2022-11-28 08:35:18,08:35,1
123,37.175000000000004,46.5,921.0,859.0,2022-11-28 08:36:34,08:36,1
124,37.1975,47.0,920.9250000000001,888.0,2022-11-28 08:37:49,08:37,1
125,37.21,38.0,920.9,885.75,2022-11-28 08:39:05,08:39,1
126,37.21,41.75,920.9,904.25,2022-11-28 08:40:20,08:40,1
127,37.22,52.75,920.9,922.5,2022-11-28 08:41:36,08:41,1
128,37.2825,48.25,920.9250000000001,919.0,2022-11-28 08:42:51,08:42,1
129,37.31,39.75,920.975,925.25,2022-11-28 08:44:07,08:44,1
130,37.325,48.5,920.975,923.5,2022-11-28 08:45:22,08:45,1
131,37.34,43.25,921.0,914.25,2022-11-28 08:46:38,08:46,1
