,Temperature,Humidity,Pressure,Co2,DateTime,Time,State
0,35.265,44.0,908.625,538.0,2022-12-14 00:00:02,00:00,0
1,35.2725,42.0,908.6,545.5,2022-12-14 00:01:17,00:01,0
2,35.2875,41.75,908.7,541.0,2022-12-14 00:02:33,00:02,0
3,35.285,39.25,908.7,542.0,2022-12-14 00:03:48,00:03,0
4,35.265,42.0,908.6,549.75,2022-12-14 00:05:03,00:05,0
5,35.2775,49.75,908.6,545.25,2022-12-14 00:06:19,00:06,0
6,35.32,45.25,908.475,546.75,2022-12-14 00:07:34,00:07,0
7,35.32,52.25,908.4,545.25,2022-12-14 00:08:50,00:08,0
8,35.325,41.5,908.375,549.0,2022-12-14 00:10:05,00:10,0
9,35.32,35.0,908.4,553.0,2022-12-14 00:11:21,00:11,0
10,35.32,39.5,908.375,553.75,2022-12-14 00:12:36,00:12,0
11,35.32,51.25,908.3499999999999,548.5,2022-12-14 00:13:52,00:13,0
12,35.3,38.75,908.3499999999999,544.75,2022-12-14 00:15:07,00:15,0
13,35.2975,37.0,908.4,547.75,2022-12-14 00:16:23,00:16,0
14,35.3,40.75,908.3,548.5,2022-12-14 00:17:38,00:17,0
15,35.3,41.5,908.3,551.75,2022-12-14 00:18:53,00:18,0
16,35.315,37.25,908.3,547.5,2022-12-14 00:20:09,00:20,0
17,35.30499999999999,40.5,908.3,543.5,2022-12-14 00:21:24,00:21,0
18,35.3,39.0,908.3,534.75,2022-12-14 00:22:40,00:22,0
19,35.285,36.75,908.25,535.5,2022-12-14 00:23:55,00:23,0
20,35.27,40.75,908.2,528.75,2022-12-14 00:25:11,00:25,0
21,35.3175,45.5,908.25,541.75,2022-12-14 00:26:26,00:26,0
22,35.34,41.0,908.3,542.25,2022-12-14 00:27:42,00:27,0
23,35.325,42.25,908.2749999999999,548.25,2022-12-14 00:28:57,00:28,0
24,35.345,45.75,908.25,540.75,2022-12-14 00:30:12,00:30,0
25,35.34,48.5,908.2,532.0,2022-12-14 00:31:28,00:31,0
26,35.35,42.0,908.2,539.75,2022-12-14 00:32:43,00:32,0
27,35.33,53.5,908.2,543.5,2022-12-14 00:33:59,00:33,0
28,35.315,46.5,908.2,548.25,2022-12-14 00:35:14,00:35,0
29,35.3575,40.25,908.2,540.5,2022-12-14 00:36:30,00:36,0
30,35.37,49.25,908.2,537.75,2022-12-14 00:37:45,00:37,0
31,35.3725,49.5,908.2,546.5,2022-12-14 00:39:01,00:39,0
32,35.36,49.5,908.2,534.0,2022-12-14 00:40:16,00:40,0
33,35.34,47.75,908.2,531.75,2022-12-14 00:41:31,00:41,0
34,35.315,43.0,908.175,542.5,2022-12-14 00:42:47,00:42,0
35,35.2925,41.25,908.1,541.0,2022-12-14 00:44:02,00:44,0
36,35.28,50.75,908.1,540.5,2022-12-14 00:45:18,00:45,0
37,35.305,40.5,908.175,538.5,2022-12-14 00:46:33,00:46,0
38,35.3,42.0,908.2,535.25,2022-12-14 00:47:49,00:47,0
39,35.3,32.5,908.2,549.0,2022-12-14 00:49:04,00:49,0
40,35.3,44.75,908.1750000000001,540.25,2022-12-14 00:50:20,00:50,0
41,35.2975,49.0,908.125,539.5,2022-12-14 00:51:35,00:51,0
42,35.269999999999996,46.25,908.0749999999999,534.25,2022-12-14 00:52:51,00:52,0
43,35.27250000000001,43.25,908.025,538.25,2022-12-14 00:54:06,00:54,0
44,35.2775,38.25,908.0,536.0,2022-12-14 00:55:21,00:55,0
45,35.3,45.25,908.0,534.0,2022-12-14 00:56:37,00:56,0
46,35.3,45.5,908.0,534.0,2022-12-14 00:57:52,00:57,0
47,35.32,45.0,908.0,540.5,2022-12-14 00:59:08,00:59,0
48,35.32,51.25,908.025,544.25,2022-12-14 01:00:23,01:00,0
49,35.305,40.25,908.1,532.25,2022-12-14 01:01:39,01:01,0
50,35.2925,47.25,908.125,539.5,2022-12-14 01:02:54,01:02,0
51,35.27,50.25,908.1,539.75,2022-12-14 01:04:10,01:04,0
52,35.3125,47.0,908.1,539.0,2022-12-14 01:05:25,01:05,0
53,35.355000000000004,48.5,908.075,544.0,2022-12-14 01:06:41,01:06,0
54,35.379999999999995,41.75,908.0,541.5,2022-12-14 01:07:56,01:07,0
55,35.394999999999996,45.5,908.025,529.5,2022-12-14 01:09:12,01:09,0
56,35.41,50.0,908.025,534.25,2022-12-14 01:10:27,01:10,0
57,35.394999999999996,47.0,908.05,534.25,2022-12-14 01:11:42,01:11,0
58,35.364999999999995,47.25,908.0749999999999,535.5,2022-12-14 01:12:58,01:12,0
59,35.325,43.0,908.075,537.5,2022-12-14 01:14:13,01:14,0
60,35.3825,44.5,908.1,523.0,2022-12-14 01:15:29,01:15,0
61,35.4,44.75,908.175,537.25,2022-12-14 01:16:44,01:16,0
62,35.41,38.25,908.2,550.25,2022-12-14 01:18:00,01:18,0
63,35.43,46.25,908.2,547.75,2022-12-14 01:19:15,01:19,0
64,35.43,44.0,908.2,542.75,2022-12-14 01:20:30,01:20,0
65,35.43,52.5,908.2,545.5,2022-12-14 01:21:46,01:21,0
66,35.405,43.25,908.2,537.25,2022-12-14 01:23:01,01:23,0
67,35.3925,43.75,908.2,528.0,2022-12-14 01:24:17,01:24,0
68,35.445,52.25,908.15,528.75,2022-12-14 01:25:32,01:25,0
69,35.4575,48.25,908.1,533.5,2022-12-14 01:26:48,01:26,0
70,35.46,48.75,908.1,532.75,2022-12-14 01:28:03,01:28,0
71,35.48,53.25,908.075,533.25,2022-12-14 01:29:18,01:29,0
72,35.475,49.0,908.0,529.0,2022-12-14 01:30:34,01:30,0
73,35.455,39.5,908.025,526.5,2022-12-14 01:31:49,01:31,0
74,35.43,43.0,908.0749999999999,535.0,2022-12-14 01:33:05,01:33,0
75,35.4575,45.5,908.1,535.75,2022-12-14 01:34:20,01:34,0
76,35.495,48.25,908.1500000000001,529.25,2022-12-14 01:35:36,01:35,0
77,35.637499999999996,53.5,907.6750000000001,522.5,2022-12-14 01:36:51,01:36,0
78,36.1075,41.75,906.125,507.5,2022-12-14 06:03:07,06:03,0
79,36.14,47.25,906.1,510.75,2022-12-14 06:04:22,06:04,0
80,36.135,47.5,906.075,511.25,2022-12-14 06:05:38,06:05,0
81,36.1125,42.75,906.0,516.0,2022-12-14 06:06:53,06:06,0
82,36.1275,50.75,906.0,506.0,2022-12-14 06:08:09,06:08,0
83,36.125,38.25,906.0,499.5,2022-12-14 06:09:24,06:09,0
84,36.102500000000006,47.75,905.975,506.75,2022-12-14 06:10:40,06:10,0
85,36.1,35.75,905.9,498.75,2022-12-14 06:11:55,06:11,0
86,36.115,41.5,905.9,503.25,2022-12-14 06:13:10,06:13,0
87,36.1225,48.75,905.9,518.75,2022-12-14 06:14:26,06:14,0
88,36.1125,45.25,905.9,525.0,2022-12-14 06:15:41,06:15,0
89,36.09,45.75,905.9,526.75,2022-12-14 06:16:57,06:16,0
90,36.14,47.75,905.9,536.0,2022-12-14 06:18:12,06:18,0
91,36.16,42.0,905.825,531.5,2022-12-14 06:19:28,06:19,0
92,36.16,52.75,905.8249999999999,521.75,2022-12-14 06:20:43,06:20,0
93,36.175000000000004,42.75,905.9,526.0,2022-12-14 06:21:58,06:21,0
94,36.1975,46.75,905.9,540.75,2022-12-14 06:23:14,06:23,0
95,36.21,45.5,905.9,544.25,2022-12-14 06:24:29,06:24,0
96,36.21,40.25,905.9250000000001,553.5,2022-12-14 06:25:45,06:25,0
97,36.2475,49.5,905.95,556.75,2022-12-14 06:27:00,06:27,0
98,36.2825,49.75,906.0,570.75,2022-12-14 06:28:16,06:28,0
99,36.3025,44.0,905.95,586.25,2022-12-14 06:29:31,06:29,0
100,36.325,36.5,905.95,583.75,2022-12-14 06:30:47,06:30,0
101,36.3625,46.5,905.9250000000001,582.25,2022-12-14 06:32:02,06:32,0
102,36.39,47.75,905.9,600.75,2022-12-14 06:33:17,06:33,0
103,36.39,45.0,905.875,620.5,2022-12-14 06:34:33,06:34,0
104,36.405,55.0,905.8499999999999,625.75,2022-12-14 06:35:48,06:35,0
105,36.495000000000005,48.5,905.825,626.75,2022-12-14 06:37:04,06:37,0
106,36.555,46.0,905.825,628.75,2022-12-14 06:38:19,06:38,0
107,36.6025,47.25,905.8,633.0,2022-12-14 06:39:35,06:39,0
108,36.64,48.5,905.8,630.0,2022-12-14 06:40:50,06:40,0
109,36.66,46.75,905.7249999999999,645.75,2022-12-14 06:42:06,06:42,0
110,36.675000000000004,46.25,905.7,655.75,2022-12-14 06:43:21,06:43,0
111,36.68,36.0,905.7,659.0,2022-12-14 06:44:37,06:44,0
112,36.7025,41.75,905.675,671.5,2022-12-14 06:45:52,06:45,0
113,36.760000000000005,44.75,905.625,702.25,2022-12-14 06:47:07,06:47,0
114,36.775000000000006,48.0,905.675,716.25,2022-12-14 06:48:23,06:48,0
115,36.792500000000004,41.5,905.7,725.25,2022-12-14 06:49:38,06:49,0
116,36.815,38.5,905.7,745.0,2022-12-14 06:50:53,06:50,0
117,36.82,47.5,905.675,754.75,2022-12-14 06:52:09,06:52,0
118,36.84,57.75,905.7,771.5,2022-12-14 06:53:24,06:53,0
119,36.845,50.25,905.675,807.75,2022-12-14 06:54:40,06:54,1
120,36.894999999999996,35.5,905.6750000000001,852.75,2022-12-14 06:55:55,06:55,1
121,36.93,37.0,905.6750000000001,945.25,2022-12-14 06:57:11,06:57,1
122,36.94,41.5,905.625,981.0,2022-12-14 06:58:26,06:58,1
123,36.974999999999994,48.0,905.6,1027.25,2022-12-14 06:59:42,06:59,1
124,36.989999999999995,37.75,905.6,1061.0,2022-12-14 07:00:57,07:00,1
125,37.0,38.0,905.5749999999999,1095.75,2022-12-14 07:02:12,07:02,1
126,37.0,41.25,905.6,1143.75,2022-12-14 07:03:28,07:03,2
127,37.03,42.25,905.6,1169.75,2022-12-14 07:04:43,07:04,2
128,37.085,51.75,905.55,1189.5,2022-12-14 07:05:59,07:05,2
129,37.105000000000004,52.0,905.5,1200.75,2022-12-14 07:07:14,07:07,2
130,37.135,43.0,905.6,1196.25,2022-12-14 07:08:29,07:08,2
131,37.165,42.5,905.6,1197.0,2022-12-14 07:09:45,07:09,2
132,37.2,48.25,905.6,1206.25,2022-12-14 07:11:00,07:11,2
133,37.23,41.25,905.6,1209.0,2022-12-14 07:12:15,07:12,2
134,37.23,42.0,905.5,1227.75,2022-12-14 07:13:31,07:13,2
135,37.26,44.75,905.5749999999999,1258.75,2022-12-14 07:14:46,07:14,2
136,37.32,41.25,905.6,1262.5,2022-12-14 07:16:02,07:16,2
137,37.32,46.0,905.6,1251.25,2022-12-14 07:17:17,07:17,2
138,37.33,42.5,905.6,1234.5,2022-12-14 07:18:33,07:18,2
139,37.34,47.75,905.5749999999999,1237.75,2022-12-14 07:19:48,07:19,2
140,37.34,39.0,905.525,1237.5,2022-12-14 07:21:04,07:21,2
141,37.36,48.75,905.6,1262.5,2022-12-14 07:22:19,07:22,2
142,37.375,45.5,905.5749999999999,1286.0,2022-12-14 07:23:35,07:23,2
143,37.44,45.75,905.5,1275.25,2022-12-14 07:24:50,07:24,2
144,37.4625,44.75,905.5,1276.25,2022-12-14 07:26:05,07:26,2
