Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.82,56,934.7,519,6,2,5
35.82,53,934.8,514,6,2,6
35.86,58,934.7,517,6,2,20
35.86,44,934.7,517,6,2,21
35.88,49,934.7,516,6,2,35
35.88,49,934.7,516,6,2,36
35.91,53,934.8,518,6,2,50
35.91,38,934.8,518,6,2,51
35.93,32,934.7,518,6,3,5
35.93,46,934.7,518,6,3,6
35.96,58,934.7,516,6,3,20
35.96,42,934.7,516,6,3,21
35.98,58,934.8,521,6,3,35
35.98,39,934.8,521,6,3,36
35.98,34,934.8,520,6,3,51
35.98,38,934.8,520,6,3,52
36.0,48,934.8,524,6,4,6
36.0,46,934.8,524,6,4,7
36.02,36,934.7,525,6,4,21
36.02,60,934.7,525,6,4,22
36.03,52,934.7,527,6,4,36
36.03,51,934.7,527,6,4,37
36.04,39,934.7,522,6,4,51
36.04,35,934.7,522,6,4,52
36.05,42,934.7,521,6,5,6
36.05,49,934.7,521,6,5,7
36.07,52,934.7,522,6,5,21
36.07,37,934.7,522,6,5,22
36.07,41,934.7,516,6,5,36
36.07,58,934.7,516,6,5,37
36.07,51,934.7,514,6,5,51
36.07,57,934.7,514,6,5,52
36.09,41,934.7,514,6,6,6
36.09,30,934.7,514,6,6,7
36.09,42,934.7,509,6,6,21
36.09,35,934.7,509,6,6,22
36.09,53,934.7,510,6,6,37
36.09,56,934.7,510,6,6,38
36.09,56,934.7,511,6,6,52
36.09,43,934.7,511,6,6,53
36.09,60,934.7,509,6,7,7
36.09,31,934.7,509,6,7,8
36.09,58,934.7,510,6,7,22
36.09,59,934.7,510,6,7,23
36.09,43,934.7,510,6,7,37
36.09,58,934.7,510,6,7,38
36.09,60,934.7,509,6,7,52
36.09,30,934.7,509,6,7,53
36.09,48,934.7,509,6,8,7
36.09,60,934.7,509,6,8,8
36.09,58,934.7,506,6,8,22
36.09,55,934.7,506,6,8,23
36.09,52,934.7,507,6,8,37
36.09,39,934.7,507,6,8,38
36.09,52,934.6,507,6,8,52
36.09,43,934.6,507,6,8,53
36.09,33,934.6,507,6,9,7
36.09,35,934.6,507,6,9,8
36.09,44,934.7,506,6,9,22
36.09,39,934.7,506,6,9,23
36.09,58,934.7,504,6,9,37
36.09,57,934.7,504,6,9,38
36.09,36,934.7,503,6,9,53
36.09,40,934.7,503,6,9,53
36.09,34,934.7,500,6,10,8
36.09,45,934.7,500,6,10,9
36.09,42,934.6,499,6,10,23
36.09,57,934.6,499,6,10,24
36.11,39,934.7,500,6,10,38
36.11,41,934.7,500,6,10,39
36.11,51,934.7,500,6,10,53
36.11,38,934.7,500,6,10,54
36.12,60,934.7,502,6,11,8
36.12,45,934.7,502,6,11,9
36.13,54,934.7,505,6,11,23
36.14,56,934.7,515,6,11,24
36.14,51,934.7,515,6,11,38
36.16,33,934.7,516,6,11,39
36.16,59,934.7,516,6,11,53
36.16,31,934.7,518,6,11,54
36.18,60,934.7,515,6,12,8
36.18,57,934.7,515,6,12,9
36.18,54,934.7,517,6,12,23
36.18,60,934.7,517,6,12,24
36.18,58,934.6,519,6,12,38
36.18,59,934.6,519,6,12,39
36.2,33,934.7,520,6,12,54
36.2,47,934.7,520,6,12,55
36.2,37,934.7,511,6,13,9
36.2,40,934.7,511,6,13,10
36.21,40,934.7,507,6,13,24
36.21,56,934.7,507,6,13,25
36.21,34,934.7,499,6,13,39
36.21,50,934.7,499,6,13,40
36.21,38,934.7,494,6,13,54
36.21,46,934.7,494,6,13,55
36.21,53,934.7,493,6,14,9
36.21,57,934.7,493,6,14,10
36.23,52,934.7,494,6,14,24
36.23,42,934.7,494,6,14,25
36.23,60,934.7,494,6,14,39
36.23,57,934.7,494,6,14,40
36.23,44,934.7,491,6,14,54
36.23,44,934.7,491,6,14,55
36.23,34,934.7,491,6,15,9
36.23,52,934.7,491,6,15,10
36.25,50,934.7,494,6,15,24
36.25,52,934.7,494,6,15,25
36.25,32,934.7,493,6,15,39
36.25,53,934.7,493,6,15,40
36.25,46,934.7,496,6,15,54
36.25,32,934.7,496,6,15,56
36.25,55,934.7,500,6,16,10
36.25,53,934.7,500,6,16,11
36.27,36,934.7,506,6,16,25
36.27,47,934.7,506,6,16,26
36.27,34,934.7,509,6,16,40
36.27,34,934.7,509,6,16,41
36.27,50,934.7,509,6,16,55
36.27,50,934.7,509,6,16,56
36.27,49,934.7,508,6,17,10
36.27,44,934.7,508,6,17,11
36.27,44,934.7,504,6,17,25
36.27,31,934.7,504,6,17,26
36.28,34,934.7,509,6,17,40
36.28,39,934.7,509,6,17,41
36.28,52,934.7,513,6,17,55
36.28,52,934.7,513,6,17,56
36.28,32,934.7,512,6,18,10
36.28,58,934.7,512,6,18,11
36.28,35,934.7,517,6,18,25
36.28,30,934.7,517,6,18,26
36.28,52,934.7,515,6,18,40
36.28,38,934.7,515,6,18,41
36.29,47,934.8,517,6,18,56
36.29,51,934.8,517,6,18,57
36.28,48,934.7,514,6,19,11
36.28,34,934.7,514,6,19,12
36.28,41,934.8,513,6,19,26
36.28,41,934.8,513,6,19,27
36.28,42,934.8,514,6,19,41
36.28,58,934.8,514,6,19,42
36.28,53,934.8,514,6,19,56
36.28,46,934.8,514,6,19,57
36.29,34,934.8,515,6,20,11
36.29,32,934.8,515,6,20,12
36.3,60,934.8,516,6,20,26
36.3,54,934.8,516,6,20,27
36.3,59,934.8,515,6,20,41
36.3,41,934.8,515,6,20,42
36.32,46,934.8,511,6,20,56
36.34,48,934.8,513,6,20,57
36.34,51,934.8,513,6,21,11
36.37,57,934.8,508,6,21,12
36.37,37,934.8,508,6,21,26
36.37,54,934.8,504,6,21,27
36.37,48,934.8,503,6,21,41
36.37,44,934.8,503,6,21,42
36.37,55,934.8,503,6,21,56
36.37,55,934.8,503,6,21,58
36.37,40,934.8,504,6,22,11
36.37,35,934.8,504,6,22,13
36.37,50,934.8,502,6,22,27
36.37,33,934.8,502,6,22,28
36.37,38,934.8,503,6,22,42
36.37,42,934.8,503,6,22,43
36.37,45,934.8,500,6,22,57
36.37,44,934.8,500,6,22,58
36.37,30,934.8,500,6,23,12
36.37,50,934.8,500,6,23,13
36.37,43,934.8,497,6,23,27
36.37,56,934.8,497,6,23,28
36.37,34,934.8,496,6,23,42
36.37,41,934.8,496,6,23,43
36.38,42,934.8,493,6,23,57
36.38,41,934.8,493,6,23,58
36.38,41,934.8,496,6,24,12
36.38,38,934.8,496,6,24,13
36.38,60,934.8,497,6,24,27
36.38,38,934.8,497,6,24,28
36.39,60,934.8,499,6,24,42
36.39,55,934.8,499,6,24,43
36.39,30,934.8,499,6,24,57
36.39,58,934.8,499,6,24,58
36.39,36,934.8,505,6,25,12
36.39,53,934.8,505,6,25,14
36.39,46,934.8,507,6,25,28
36.39,40,934.8,507,6,25,29
36.39,46,934.8,508,6,25,43
36.39,54,934.8,508,6,25,44
36.39,35,934.8,509,6,25,58
36.39,36,934.8,509,6,25,59
36.39,56,934.8,515,6,26,13
36.39,56,934.8,515,6,26,14
36.41,36,934.9,516,6,26,28
36.41,44,934.9,516,6,26,29
36.39,31,934.8,519,6,26,43
36.39,48,934.8,519,6,26,44
36.41,55,934.8,516,6,26,58
36.41,49,934.8,516,6,26,59
36.41,41,934.9,518,6,27,13
36.41,58,934.9,518,6,27,14
36.41,52,934.8,512,6,27,28
36.41,31,934.8,512,6,27,29
36.41,47,934.8,513,6,27,43
36.41,58,934.8,513,6,27,45
36.41,55,934.8,516,6,27,58
36.41,32,934.8,516,6,28,0
36.41,46,934.8,518,6,28,13
36.41,46,934.8,518,6,28,15
36.39,44,934.8,520,6,28,29
36.39,52,934.8,520,6,28,30
36.39,38,934.8,522,6,28,44
36.39,47,934.8,522,6,28,45
36.39,40,934.9,520,6,28,59
36.39,30,934.9,520,6,29,0
36.39,59,934.9,517,6,29,14
36.39,46,934.9,517,6,29,15
36.39,40,934.9,516,6,29,29
36.39,58,934.9,516,6,29,30
36.39,44,934.9,514,6,29,44
36.39,45,934.9,514,6,29,45
36.39,40,934.9,511,6,29,59
36.39,36,934.9,511,6,30,0
36.41,52,934.9,509,6,30,14
36.41,36,934.9,509,6,30,15
36.41,38,934.9,505,6,30,29
36.41,41,934.9,509,6,30,30
36.41,47,934.9,509,6,30,44
36.43,57,934.9,511,6,30,46
36.43,58,934.9,511,6,30,59
36.45,32,934.9,512,6,31,1
36.45,59,934.9,512,6,31,14
36.45,48,934.9,513,6,31,16
36.45,48,934.9,513,6,31,29
36.45,50,934.9,513,6,31,31
36.45,50,934.9,511,6,31,45
36.45,31,934.9,511,6,31,46
36.45,56,935.0,506,6,32,0
36.45,57,935.0,506,6,32,1
36.45,40,935.0,504,6,32,15
36.45,56,935.0,504,6,32,16
36.43,58,935.0,501,6,32,30
36.43,38,935.0,501,6,32,31
36.45,39,934.9,499,6,32,45
36.45,30,934.9,499,6,32,46
36.43,43,935.0,500,6,33,0
36.43,35,935.0,500,6,33,1
36.43,38,935.0,502,6,33,15
36.43,50,935.0,502,6,33,16
36.43,43,935.0,501,6,33,30
36.43,34,935.0,501,6,33,31
36.43,48,934.9,501,6,33,45
36.43,56,934.9,501,6,33,47
