Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.38,31,891.5,1788,0,0,2
35.38,58,891.5,1788,0,0,3
35.37,55,891.5,1788,0,0,17
35.37,30,891.5,1788,0,0,18
35.37,46,891.5,1793,0,0,32
35.37,41,891.5,1793,0,0,33
35.37,59,891.5,1804,0,0,47
35.37,31,891.5,1804,0,0,48
35.37,54,891.5,1809,0,1,2
35.37,55,891.5,1809,0,1,3
35.37,34,891.5,1808,0,1,17
35.37,36,891.5,1808,0,1,18
35.38,47,891.5,1805,0,1,32
35.38,59,891.5,1805,0,1,33
35.38,45,891.5,1802,0,1,47
35.38,54,891.5,1802,0,1,48
35.38,57,891.5,1798,0,2,2
35.38,58,891.5,1798,0,2,4
35.38,56,891.5,1794,0,2,18
35.38,45,891.5,1794,0,2,19
35.38,36,891.5,1795,0,2,33
35.38,53,891.5,1795,0,2,34
35.38,43,891.5,1797,0,2,48
35.38,53,891.5,1797,0,2,49
35.37,39,891.5,1811,0,3,3
35.37,51,891.5,1811,0,3,4
35.37,40,891.5,1821,0,3,18
35.37,36,891.5,1821,0,3,19
35.37,50,891.5,1833,0,3,33
35.37,60,891.5,1833,0,3,34
35.36,54,891.5,1828,0,3,48
35.36,48,891.5,1828,0,3,49
35.36,51,891.5,1833,0,4,3
35.36,55,891.5,1833,0,4,4
35.36,35,891.4,1833,0,4,18
35.36,33,891.4,1833,0,4,19
35.37,42,891.5,1837,0,4,33
35.37,38,891.5,1837,0,4,34
35.37,45,891.5,1844,0,4,48
35.37,57,891.5,1844,0,4,49
35.37,45,891.5,1847,0,5,3
35.37,54,891.5,1847,0,5,4
35.39,41,891.5,1858,0,5,19
35.39,49,891.5,1860,0,5,20
35.39,38,891.5,1860,0,5,34
35.43,45,891.5,1865,0,5,35
35.43,57,891.5,1865,0,5,49
35.43,45,891.5,1862,0,5,50
35.43,48,891.5,1863,0,6,4
35.43,47,891.5,1863,0,6,5
35.43,52,891.5,1861,0,6,19
35.43,50,891.5,1861,0,6,20
35.43,34,891.5,1862,0,6,34
35.43,50,891.5,1862,0,6,35
35.43,46,891.5,1862,0,6,49
35.43,40,891.5,1862,0,6,50
35.43,36,891.5,1864,0,7,4
35.43,43,891.5,1864,0,7,5
35.43,47,891.5,1869,0,7,19
35.43,43,891.5,1869,0,7,20
35.43,46,891.5,1873,0,7,34
35.43,42,891.5,1873,0,7,35
35.43,36,891.5,1886,0,7,50
35.43,41,891.5,1886,0,7,50
35.43,31,891.5,1896,0,8,5
35.43,32,891.5,1896,0,8,6
35.43,41,891.5,1898,0,8,20
35.43,49,891.5,1898,0,8,21
35.43,33,891.5,1911,0,8,35
35.43,32,891.5,1911,0,8,36
35.43,59,891.5,1909,0,8,50
35.43,56,891.5,1909,0,8,51
35.43,45,891.5,1913,0,9,5
35.43,33,891.5,1913,0,9,6
35.43,43,891.5,1916,0,9,20
35.43,52,891.5,1916,0,9,21
35.43,51,891.5,1920,0,9,35
35.43,45,891.5,1920,0,9,36
35.43,43,891.5,1920,0,9,50
35.43,56,891.5,1920,0,9,51
35.41,38,891.5,1925,0,10,5
35.41,44,891.5,1925,0,10,6
35.43,54,891.5,1924,0,10,20
35.43,49,891.5,1924,0,10,21
35.41,37,891.4,1919,0,10,35
35.41,48,891.4,1919,0,10,37
35.41,43,891.4,1920,0,10,51
35.41,39,891.4,1920,0,10,52
35.41,49,891.5,1913,0,11,6
35.41,33,891.5,1913,0,11,7
35.41,50,891.4,1913,0,11,21
35.41,57,891.4,1913,0,11,22
35.41,57,891.4,1912,0,11,36
35.41,57,891.4,1912,0,11,37
35.41,56,891.4,1905,0,11,51
35.41,49,891.4,1905,0,11,52
35.41,41,891.5,1909,0,12,6
35.41,48,891.5,1909,0,12,7
35.41,46,891.5,1912,0,12,21
35.41,47,891.5,1912,0,12,22
35.39,51,891.5,1906,0,12,36
35.39,35,891.5,1906,0,12,37
35.39,38,891.5,1910,0,12,51
35.39,50,891.5,1910,0,12,52
35.39,45,891.5,1913,0,13,6
35.39,32,891.5,1913,0,13,7
35.38,49,891.5,1926,0,13,22
35.38,40,891.5,1926,0,13,23
35.38,34,891.5,1931,0,13,37
35.38,43,891.5,1931,0,13,38
35.37,48,891.5,1941,0,13,52
35.37,30,891.5,1941,0,13,53
35.37,46,891.5,1938,0,14,7
35.37,32,891.5,1938,0,14,8
35.38,39,891.5,1939,0,14,22
35.38,46,891.5,1939,0,14,23
35.38,55,891.4,1943,0,14,37
35.38,43,891.4,1943,0,14,38
35.39,54,891.5,1942,0,14,52
35.39,36,891.5,1942,0,14,53
35.39,45,891.5,1945,0,15,7
35.41,37,891.5,1946,0,15,8
35.41,44,891.5,1946,0,15,22
35.41,42,891.5,1944,0,15,23
35.41,57,891.5,1944,0,15,37
35.41,43,891.5,1951,0,15,38
35.43,39,891.5,1952,0,15,52
35.43,38,891.5,1952,0,15,53
35.41,49,891.5,1946,0,16,7
35.41,50,891.5,1946,0,16,8
35.43,32,891.5,1944,0,16,23
35.43,35,891.5,1944,0,16,24
35.41,38,891.5,1948,0,16,38
35.41,43,891.5,1948,0,16,39
35.43,42,891.5,1952,0,16,53
35.43,40,891.5,1952,0,16,54
35.43,47,891.5,1951,0,17,8
35.43,42,891.5,1951,0,17,9
35.43,40,891.5,1953,0,17,23
35.43,51,891.5,1953,0,17,24
35.43,56,891.5,1961,0,17,38
35.43,41,891.5,1961,0,17,39
35.43,33,891.5,1965,0,17,53
35.43,45,891.5,1965,0,17,54
35.43,43,891.5,1962,0,18,8
35.43,51,891.5,1962,0,18,9
35.43,42,891.5,1958,0,18,23
35.43,40,891.5,1958,0,18,24
35.43,41,891.5,1961,0,18,38
35.43,51,891.5,1961,0,18,39
35.43,57,891.5,1971,0,18,53
35.43,38,891.5,1971,0,18,54
35.43,41,891.5,1973,0,19,8
35.43,55,891.5,1973,0,19,9
35.43,52,891.5,1980,0,19,24
35.43,48,891.5,1980,0,19,26
35.43,48,891.5,1986,0,19,39
35.43,32,891.5,1986,0,19,41
35.43,56,891.4,1998,0,19,54
35.43,42,891.4,1998,0,19,56
35.43,50,891.5,2002,0,20,9
35.43,39,891.5,2002,0,20,11
35.43,50,891.5,2009,0,20,24
35.43,38,891.5,2009,0,20,26
35.43,36,891.5,2016,0,20,39
35.43,30,891.5,2016,0,20,41
35.41,56,891.5,2016,0,20,54
35.41,37,891.5,2016,0,20,56
35.41,52,891.5,2015,0,21,9
35.41,40,891.5,2015,0,21,11
35.41,55,891.5,2019,0,21,24
35.41,50,891.5,2019,0,21,26
35.41,53,891.4,2022,0,21,39
35.41,51,891.4,2022,0,21,41
35.39,40,891.5,2029,0,21,54
35.39,58,891.5,2029,0,21,57
35.37,51,891.5,2028,0,22,10
35.37,34,891.5,2028,0,22,13
35.38,49,891.5,2022,0,22,25
35.38,37,891.5,2022,0,22,28
35.39,32,891.5,2019,0,22,40
35.39,30,891.5,2019,0,22,43
35.39,34,891.5,2020,0,22,55
35.39,39,891.5,2020,0,22,58
35.39,39,891.5,2017,0,23,10
35.39,53,891.5,2017,0,23,13
35.39,37,891.5,2015,0,23,25
35.39,49,891.5,2025,0,23,28
35.39,51,891.5,2025,0,23,40
35.39,43,891.5,2023,0,23,43
35.39,41,891.5,2023,0,23,55
35.38,43,891.5,2026,0,23,58
35.38,43,891.5,2026,0,24,10
35.38,30,891.5,2028,0,24,14
35.38,39,891.5,2028,0,24,25
35.39,46,891.5,2039,0,24,29
35.39,47,891.5,2039,0,24,40
35.39,56,891.5,2037,0,24,44
35.39,31,891.5,2037,0,24,56
35.43,45,891.5,2034,0,25,0
35.43,49,891.5,2034,0,25,11
35.43,43,891.5,2033,0,25,15
35.41,60,891.5,2033,0,25,26
35.41,34,891.5,2033,0,25,30
35.41,38,891.5,2026,0,25,41
35.41,44,891.5,2026,0,25,45
35.41,55,891.5,2033,0,25,56
35.41,57,891.5,2033,0,26,0
35.41,47,891.5,2029,0,26,11
35.41,46,891.5,2029,0,26,15
35.41,35,891.5,2031,0,26,26
35.41,50,891.5,2031,0,26,30
35.41,44,891.5,2039,0,26,41
35.41,38,891.5,2039,0,26,45
35.41,35,891.5,2040,0,26,56
35.41,40,891.5,2040,0,27,0
35.41,54,891.5,2038,0,27,11
35.41,53,891.5,2038,0,27,15
35.41,53,891.5,2040,0,27,26
35.41,60,891.5,2040,0,27,30
35.41,41,891.5,2042,0,27,41
35.41,53,891.5,2042,0,27,46
35.41,58,891.5,2046,0,27,57
35.41,42,891.5,2046,0,28,1
35.41,57,891.5,2058,0,28,12
35.41,39,891.5,2058,0,28,16
35.41,44,891.5,2066,0,28,27
35.41,46,891.5,2066,0,28,31
35.41,55,891.5,2067,0,28,42
35.41,39,891.5,2067,0,28,46
35.41,59,891.5,2075,0,28,57
35.41,57,891.5,2075,0,29,2
35.39,50,891.5,2083,0,29,12
35.39,33,891.5,2083,0,29,17
35.39,37,891.5,2083,0,29,27
35.39,45,891.5,2083,0,29,32
35.39,56,891.5,2083,0,29,42
35.39,30,891.5,2083,0,29,47
35.39,58,891.5,2079,0,29,57
35.39,55,891.5,2079,0,30,2
35.38,43,891.4,2083,0,30,12
35.38,48,891.4,2083,0,30,17
35.38,39,891.4,2078,0,30,27
35.38,59,891.4,2078,0,30,32
35.38,53,891.4,2074,0,30,43
35.39,52,891.4,2070,0,30,50
35.39,46,891.4,2070,0,30,58
35.43,55,891.4,2073,0,31,5
35.43,42,891.4,2073,0,31,13
35.41,49,891.4,2069,0,31,20
35.41,41,891.4,2069,0,31,28
35.41,59,891.4,2068,0,31,35
35.41,56,891.4,2068,0,31,43
35.41,37,891.4,2073,0,31,50
35.41,59,891.4,2073,0,31,58
35.41,49,891.3,2081,0,32,5
35.41,39,891.3,2081,0,32,13
35.41,44,891.3,2082,0,32,20
35.41,44,891.3,2082,0,32,28
35.41,34,891.3,2087,0,32,35
35.41,46,891.3,2087,0,32,43
35.39,48,891.4,2084,0,32,50
35.39,54,891.4,2084,0,32,59
35.37,35,891.3,2085,0,33,5
35.37,41,891.3,2085,0,33,14
35.38,35,891.3,2087,0,33,20
35.38,43,891.3,2087,0,33,29
35.38,38,891.3,2089,0,33,35
35.38,50,891.3,2089,0,33,44
35.39,48,891.4,2094,0,33,51
35.39,44,891.4,2094,0,33,59
35.41,57,891.4,2088,0,34,6
35.41,42,891.4,2088,0,34,15
35.41,58,891.4,2090,0,34,21
35.41,47,891.4,2090,0,34,30
35.41,41,891.4,2082,0,34,36
35.41,51,891.4,2083,0,34,45
35.41,30,891.4,2083,0,34,51
35.41,35,891.4,2088,0,35,0
35.41,41,891.4,2088,0,35,6
35.41,30,891.4,2084,0,35,15
35.41,38,891.4,2084,0,35,21
35.41,34,891.4,2080,0,35,30
35.41,52,891.4,2080,0,35,36
35.41,32,891.4,2078,0,35,45
35.41,60,891.4,2078,0,35,51
35.41,60,891.4,2087,0,36,0
35.41,45,891.4,2087,0,36,6
35.41,57,891.3,2082,0,36,15
35.41,37,891.3,2082,0,36,21
35.41,37,891.3,2083,0,36,30
35.41,47,891.3,2083,0,36,36
35.41,57,891.4,2085,0,36,45
35.41,33,891.4,2085,0,36,52
35.41,55,891.3,2095,0,37,0
35.41,50,891.3,2095,0,37,7
35.39,40,891.4,2102,0,37,16
35.39,50,891.4,2102,0,37,22
35.39,45,891.3,2118,0,37,31
35.39,33,891.3,2118,0,37,37
35.39,52,891.3,2120,0,37,46
35.39,43,891.3,2120,0,37,52
35.38,49,891.4,2124,0,38,1
35.38,36,891.4,2124,0,38,7
35.38,35,891.4,2124,0,38,16
35.38,49,891.4,2124,0,38,22
35.37,31,891.4,2125,0,38,31
35.37,57,891.4,2125,0,38,37
35.36,39,891.3,2128,0,38,46
35.36,41,891.3,2128,0,38,52
35.36,41,891.4,2134,0,39,1
35.36,52,891.4,2134,0,39,7
35.34,31,891.4,2133,0,39,16
35.34,36,891.4,2133,0,39,22
35.34,52,891.4,2129,0,39,31
35.34,44,891.4,2129,0,39,37
35.34,36,891.4,2121,0,39,46
35.34,35,891.4,2121,0,39,52
35.36,59,891.3,2118,0,40,1
35.36,53,891.3,2118,0,40,7
35.38,45,891.3,2120,0,40,16
35.38,43,891.3,2120,0,40,23
35.37,54,891.3,2116,0,40,32
35.37,46,891.3,2117,0,40,38
35.37,46,891.3,2117,0,40,47
35.37,41,891.3,2124,0,40,53
35.37,49,891.3,2124,0,41,2
35.34,32,891.3,2132,0,41,8
35.34,55,891.3,2132,0,41,17
35.36,49,891.3,2143,0,41,23
35.36,52,891.3,2143,0,41,32
35.34,36,891.3,2148,0,41,38
35.34,48,891.3,2148,0,41,47
35.34,35,891.3,2143,0,41,53
35.34,57,891.3,2143,0,42,2
35.32,59,891.3,2138,0,42,8
35.32,38,891.3,2138,0,42,17
35.32,43,891.3,2138,0,42,23
35.32,50,891.3,2138,0,42,32
35.3,46,891.3,2145,0,42,38
35.3,50,891.3,2145,0,42,47
35.3,52,891.3,2138,0,42,53
35.3,45,891.3,2138,0,43,2
35.3,49,891.3,2148,0,43,8
35.3,33,891.3,2148,0,43,17
35.3,44,891.3,2147,0,43,23
35.3,56,891.3,2147,0,43,33
35.3,47,891.3,2152,0,43,39
35.3,40,891.3,2152,0,43,48
35.3,31,891.3,2148,0,43,54
35.3,60,891.3,2148,0,44,3
35.3,35,891.3,2148,0,44,9
35.3,33,891.3,2148,0,44,18
35.32,52,891.3,2140,0,44,24
35.32,35,891.3,2140,0,44,33
35.32,42,891.3,2148,0,44,39
35.32,48,891.3,2141,0,44,48
35.32,60,891.3,2141,0,44,54
35.32,45,891.3,2139,0,45,3
35.32,46,891.3,2139,0,45,9
35.32,55,891.2,2144,0,45,18
35.32,56,891.2,2144,0,45,24
35.3,36,891.3,2149,0,45,33
35.3,42,891.3,2149,0,45,39
35.3,42,891.3,2148,0,45,48
35.3,40,891.3,2148,0,45,54
35.3,46,891.3,2163,0,46,3
35.3,56,891.3,2163,0,46,9
35.3,50,891.2,2172,0,46,18
35.3,50,891.2,2172,0,46,24
35.3,52,891.3,2172,0,46,33
35.3,44,891.3,2172,0,46,39
35.29,32,891.3,2180,0,46,49
35.29,32,891.3,2180,0,46,54
35.29,53,891.3,2171,0,47,4
35.29,46,891.3,2171,0,47,10
35.29,37,891.3,2189,0,47,19
35.29,52,891.3,2189,0,47,25
35.28,39,891.3,2195,0,47,34
35.28,38,891.3,2195,0,47,40
35.28,48,891.2,2191,0,47,49
35.28,43,891.2,2191,0,47,55
35.28,46,891.2,2191,0,48,4
35.28,56,891.2,2191,0,48,10
35.27,45,891.2,2190,0,48,19
35.27,54,891.2,2190,0,48,25
35.25,49,891.2,2188,0,48,34
35.25,35,891.2,2188,0,48,40
35.25,35,891.2,2196,0,48,49
35.25,36,891.2,2196,0,48,55
