Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
34.93,51,913.5,446,0,0,12
34.93,31,913.6,445,0,0,27
34.93,50,913.5,443,0,0,42
34.93,49,913.5,441,0,0,57
34.95,37,913.6,444,0,1,12
34.93,55,913.5,447,0,1,27
34.93,52,913.5,450,0,1,42
34.93,60,913.5,448,0,1,57
34.95,30,913.5,448,0,2,12
34.93,49,913.5,451,0,2,27
34.93,38,913.5,454,0,2,42
34.93,49,913.5,455,0,2,58
34.93,46,913.5,452,0,3,13
34.93,40,913.5,453,0,3,28
34.91,43,913.5,452,0,3,43
34.93,54,913.5,447,0,3,58
34.91,31,913.5,443,0,4,13
34.91,51,913.5,442,0,4,28
34.91,43,913.5,443,0,4,43
34.93,31,913.5,442,0,4,58
34.93,54,913.5,439,0,5,13
34.96,58,913.6,437,0,5,28
34.98,53,913.6,435,0,5,43
34.98,41,913.6,432,0,5,58
34.98,39,913.5,442,0,6,14
34.98,56,913.5,444,0,6,29
34.98,51,913.5,444,0,6,44
35.0,33,913.5,450,0,6,59
35.0,36,913.5,449,0,7,14
35.0,53,913.5,448,0,7,29
35.0,33,913.5,414,0,7,44
34.98,49,913.6,424,0,7,59
34.98,39,913.5,433,0,8,14
34.98,47,913.5,439,0,8,29
34.98,33,913.6,446,0,8,45
34.98,45,913.6,451,0,9,0
35.0,37,913.6,447,0,9,15
35.0,43,913.5,440,0,9,30
35.0,31,913.5,439,0,9,45
35.0,31,913.5,436,0,10,0
35.0,47,913.5,435,0,10,15
35.0,45,913.5,439,0,10,30
35.0,38,913.5,440,0,10,45
35.0,57,913.5,442,0,11,0
35.0,36,913.5,444,0,11,16
35.0,54,913.5,443,0,11,31
35.0,33,913.5,443,0,11,46
35.0,31,913.5,450,0,12,1
35.0,60,913.5,450,0,12,16
35.0,35,913.6,452,0,12,31
35.0,51,913.5,453,0,12,46
35.0,39,913.5,458,0,13,1
34.98,42,913.5,452,0,13,16
34.98,44,913.5,450,0,13,31
34.98,60,913.5,448,0,13,46
34.96,46,913.5,449,0,14,1
34.98,59,913.5,449,0,14,17
34.96,30,913.5,445,0,14,32
34.96,60,913.5,445,0,14,47
34.98,39,913.5,447,0,15,2
35.0,41,913.5,446,0,15,17
35.02,59,913.5,443,0,15,32
35.02,54,913.5,440,0,15,47
35.02,46,913.5,431,0,16,2
35.02,34,913.5,428,0,16,17
35.0,38,913.5,426,0,16,32
35.02,48,913.5,430,0,16,48
35.02,37,913.5,432,0,17,3
35.02,46,913.5,430,0,17,18
35.02,43,913.5,433,0,17,33
35.03,31,913.5,434,0,17,48
35.03,56,913.5,433,0,18,3
35.03,41,913.5,433,0,18,18
35.03,35,913.5,439,0,18,33
35.03,48,913.5,437,0,18,48
35.02,49,913.5,434,0,19,3
35.02,37,913.5,434,0,19,19
35.02,36,913.5,440,0,19,34
35.0,60,913.5,442,0,19,49
35.0,58,913.5,444,0,20,4
35.0,42,913.5,445,0,20,19
35.0,31,913.5,443,0,20,34
35.02,48,913.5,442,0,20,49
35.02,53,913.5,438,0,21,4
35.0,52,913.5,437,0,21,19
35.0,39,913.5,434,0,21,35
35.0,52,913.5,434,0,21,50
34.98,38,913.5,433,0,22,5
34.98,50,913.6,433,0,22,20
34.98,32,913.5,430,0,22,35
34.96,49,913.5,430,0,22,50
34.96,47,913.6,431,0,23,5
34.96,35,913.5,430,0,23,20
34.96,58,913.5,428,0,23,35
34.96,56,913.5,426,0,23,50
34.96,33,913.5,427,0,24,5
34.96,33,913.5,428,0,24,21
34.96,42,913.5,430,0,24,36
34.98,59,913.6,431,0,24,51
35.0,47,913.6,435,0,25,6
35.0,31,913.6,447,0,25,21
35.0,35,913.6,447,0,25,36
35.0,32,913.6,446,0,25,52
35.0,38,913.6,450,0,26,7
35.0,40,913.6,450,0,26,22
35.0,40,913.6,449,0,26,37
35.02,43,913.6,450,0,26,52
35.02,60,913.5,446,0,27,7
35.02,35,913.6,447,0,27,22
35.02,38,913.5,443,0,27,37
35.02,55,913.5,442,0,27,53
35.0,53,913.6,440,0,28,8
35.0,50,913.6,438,0,28,23
35.02,57,913.6,434,0,28,38
35.0,31,913.6,430,0,28,53
35.0,43,913.6,430,0,29,8
35.0,32,913.6,432,0,29,24
35.0,56,913.6,433,0,29,39
35.0,38,913.6,439,0,29,54
35.0,30,913.6,438,0,30,9
35.0,54,913.6,438,0,30,24
35.0,34,913.6,439,0,30,39
35.0,58,913.6,436,0,30,54
35.0,60,913.6,440,0,31,9
35.0,34,913.6,442,0,31,24
35.0,52,913.6,438,0,31,39
34.98,32,913.6,433,0,31,55
34.98,40,913.6,432,0,32,10
34.96,42,913.6,432,0,32,25
34.96,58,913.6,428,0,32,40
34.96,53,913.5,426,0,32,55
34.96,56,913.6,428,0,33,10
34.96,37,913.6,430,0,33,25
34.98,41,913.6,433,0,33,40
35.0,60,913.6,426,0,33,55
35.02,45,913.6,423,0,34,10
35.02,43,913.6,431,0,34,25
35.02,43,913.6,432,0,34,41
35.0,54,913.6,432,0,34,56
35.0,51,913.6,436,0,35,11
35.0,49,913.6,441,0,35,26
35.0,44,913.6,440,0,35,41
35.0,34,913.6,444,0,35,56
35.0,39,913.6,446,0,36,11
35.0,49,913.6,448,0,36,26
35.0,32,913.6,449,0,36,41
35.0,36,913.6,451,0,36,56
34.98,52,913.6,449,0,37,12
34.98,51,913.6,445,0,37,27
34.98,30,913.6,443,0,37,42
34.96,50,913.6,438,0,37,57
34.96,40,913.6,435,0,38,12
34.96,54,913.6,431,0,38,27
34.96,58,913.6,429,0,38,42
34.96,58,913.6,427,0,38,57
34.95,38,913.6,427,0,39,12
34.95,51,913.6,421,0,39,27
34.95,54,913.6,422,0,39,42
34.95,46,913.6,421,0,39,58
34.95,59,913.6,428,0,40,13
34.95,58,913.6,432,0,40,28
34.95,56,913.6,434,0,40,43
34.95,60,913.6,434,0,40,58
34.93,50,913.6,435,0,41,13
34.93,34,913.6,435,0,41,28
34.93,52,913.6,430,0,41,43
34.93,40,913.6,431,0,41,58
34.91,49,913.5,432,0,42,13
34.91,58,913.6,428,0,42,28
34.91,60,913.6,427,0,42,44
34.91,31,913.5,427,0,42,59
34.91,32,913.5,430,0,43,14
34.93,37,913.5,432,0,43,29
34.96,57,913.5,431,0,43,44
34.96,41,913.5,437,0,43,59
34.96,34,913.6,436,0,44,14
34.96,44,913.5,434,0,44,29
34.96,57,913.6,436,0,44,44
34.96,60,913.6,439,0,45,0
34.96,46,913.6,440,0,45,15
34.96,44,913.6,438,0,45,30
34.96,52,913.6,434,0,45,45
34.96,48,913.6,435,0,46,0
34.98,59,913.6,435,0,46,15
34.98,51,913.6,435,0,46,30
34.98,37,913.5,435,0,46,45
34.96,30,913.6,436,0,47,0
34.98,35,913.6,439,0,47,15
34.96,40,913.6,441,0,47,30
34.96,56,913.6,443,0,47,46
34.96,57,913.6,442,0,48,1
34.96,52,913.6,443,0,48,16
34.96,34,913.6,437,0,48,31
34.96,59,913.6,441,0,48,46
34.96,50,913.5,438,0,49,1
34.96,41,913.5,434,0,49,16
34.95,50,913.5,434,0,49,31
34.96,33,913.5,435,0,49,46
34.96,41,913.5,439,0,50,1
34.95,54,913.5,443,0,50,17
34.95,37,913.6,440,0,50,32
34.95,59,913.5,441,0,50,47
34.93,34,913.5,436,0,51,2
34.95,45,913.5,437,0,51,17
34.93,40,913.5,434,0,51,32
34.93,34,913.5,433,0,51,47
34.93,40,913.6,437,0,52,2
34.93,45,913.6,435,0,52,17
34.93,38,913.5,440,0,52,32
