Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.98,37,921.1,530,6,2,32
35.98,30,921.1,530,6,2,33
36.0,52,921.1,533,6,2,47
36.0,58,921.1,533,6,2,49
36.03,60,921.1,532,6,3,2
36.03,47,921.1,532,6,3,4
36.05,52,921.1,534,6,3,17
36.05,37,921.1,534,6,3,19
36.07,54,921.1,543,6,3,32
36.07,43,921.1,543,6,3,34
36.09,48,921.1,539,6,3,47
36.09,31,921.1,539,6,3,49
36.11,49,921.1,543,6,4,2
36.11,50,921.1,543,6,4,4
36.12,58,921.1,547,6,4,17
36.12,54,921.1,547,6,4,19
36.13,33,921.1,545,6,4,32
36.13,50,921.1,545,6,4,34
36.14,56,921.1,545,6,4,47
36.14,31,921.1,545,6,4,49
36.14,30,921.1,542,6,5,2
36.14,60,921.1,542,6,5,4
36.14,40,921.1,540,6,5,18
36.14,58,921.1,540,6,5,19
36.16,36,921.1,539,6,5,33
36.16,47,921.1,539,6,5,34
36.16,49,921.1,542,6,5,48
36.16,60,921.1,542,6,5,49
36.16,31,921.1,545,6,6,3
36.16,47,921.1,545,6,6,5
36.16,56,921.1,543,6,6,18
36.16,50,921.1,543,6,6,20
36.16,50,921.1,544,6,6,33
36.16,30,921.1,544,6,6,35
36.18,49,921.1,547,6,6,48
36.18,53,921.1,547,6,6,50
36.18,32,921.1,545,6,7,3
36.18,30,921.1,545,6,7,5
36.18,38,921.1,543,6,7,18
36.18,48,921.1,543,6,7,20
36.2,34,921.1,544,6,7,33
36.2,48,921.1,544,6,7,35
36.21,43,921.1,549,6,7,48
36.21,39,921.1,550,6,7,50
36.21,52,921.1,550,6,8,4
36.23,56,921.1,548,6,8,5
36.23,51,921.1,548,6,8,19
36.25,44,921.1,552,6,8,20
36.25,37,921.1,552,6,8,34
36.27,50,921.2,552,6,8,35
36.27,54,921.2,552,6,8,49
36.27,56,921.2,553,6,8,50
36.27,49,921.2,553,6,9,4
36.27,31,921.2,553,6,9,6
36.28,41,921.2,558,6,9,19
36.28,43,921.2,558,6,9,21
36.28,52,921.1,560,6,9,34
36.28,34,921.1,560,6,9,36
36.29,38,921.2,560,6,9,49
36.29,49,921.2,560,6,9,51
36.3,48,921.1,561,6,10,4
36.3,54,921.1,561,6,10,6
36.3,38,921.1,558,6,10,19
36.3,49,921.1,558,6,10,21
36.3,55,921.1,558,6,10,34
36.3,45,921.1,558,6,10,36
36.3,44,921.1,554,6,10,49
36.3,30,921.1,554,6,10,51
36.3,33,921.1,555,6,11,4
36.3,52,921.1,555,6,11,6
36.32,42,921.2,556,6,11,19
36.32,44,921.2,556,6,11,21
36.3,30,921.1,557,6,11,35
36.3,43,921.1,557,6,11,36
36.32,33,921.1,552,6,11,50
36.32,51,921.1,552,6,11,51
36.32,54,921.2,551,6,12,5
36.32,36,921.2,551,6,12,6
36.32,46,921.2,551,6,12,20
36.32,32,921.2,551,6,12,22
36.34,42,921.2,548,6,12,35
36.34,40,921.2,548,6,12,37
36.34,39,921.2,551,6,12,50
36.34,53,921.2,551,6,12,52
36.34,52,921.2,555,6,13,5
36.34,36,921.2,555,6,13,7
36.34,55,921.2,555,6,13,20
36.34,48,921.2,555,6,13,22
36.34,32,921.2,552,6,13,35
36.34,50,921.2,552,6,13,37
36.34,57,921.2,552,6,13,50
36.34,53,921.2,552,6,13,52
36.34,41,921.2,555,6,14,5
36.34,47,921.2,555,6,14,7
36.34,43,921.2,564,6,14,20
36.34,47,921.2,564,6,14,22
36.34,35,921.2,565,6,14,35
36.34,42,921.2,565,6,14,37
36.34,59,921.2,563,6,14,51
36.34,60,921.2,563,6,14,52
36.34,47,921.2,564,6,15,6
36.34,59,921.2,564,6,15,7
36.34,33,921.2,565,6,15,21
36.34,56,921.2,565,6,15,23
36.34,52,921.2,569,6,15,36
36.34,47,921.2,569,6,15,38
36.34,49,921.1,573,6,15,51
36.34,35,921.1,573,6,15,53
36.34,47,921.2,577,6,16,6
36.34,42,921.2,577,6,16,8
36.34,46,921.2,579,6,16,21
36.34,39,921.2,579,6,16,23
36.34,47,921.1,579,6,16,36
36.34,54,921.1,579,6,16,38
36.36,46,921.1,578,6,16,51
36.36,43,921.1,578,6,16,53
36.36,31,921.1,583,6,17,6
36.36,58,921.1,583,6,17,8
36.36,54,921.1,582,6,17,21
36.36,31,921.1,582,6,17,23
36.37,54,921.2,585,6,17,36
36.38,51,921.1,586,6,17,38
36.38,44,921.1,586,6,17,52
36.39,60,921.1,590,6,17,54
36.39,30,921.1,590,6,18,7
36.41,59,921.1,586,6,18,9
36.41,55,921.1,586,6,18,22
36.43,57,921.1,587,6,18,24
36.43,45,921.1,587,6,18,37
36.43,59,921.1,575,6,18,39
36.43,50,921.1,569,6,18,52
36.43,43,921.1,569,6,18,54
36.45,37,921.1,570,6,19,7
36.45,59,921.1,570,6,19,9
36.45,48,921.1,570,6,19,22
36.45,57,921.1,570,6,19,24
36.46,41,921.2,578,6,19,37
36.46,43,921.2,578,6,19,39
36.46,38,921.2,582,6,19,52
36.46,45,921.2,582,6,19,54
36.46,42,921.2,588,6,20,7
36.46,31,921.2,588,6,20,9
36.46,34,921.2,594,6,20,22
36.46,39,921.2,594,6,20,24
36.46,45,921.1,598,6,20,38
36.46,57,921.1,598,6,20,40
36.48,50,921.2,606,6,20,53
36.48,57,921.2,606,6,20,55
36.48,38,921.2,612,6,21,8
36.48,37,921.2,612,6,21,10
36.48,38,921.1,619,6,21,23
36.48,34,921.1,619,6,21,25
36.5,45,921.1,625,6,21,38
36.5,51,921.1,625,6,21,40
36.5,41,921.1,628,6,21,53
36.5,48,921.1,628,6,21,55
36.5,45,921.2,629,6,22,8
36.5,50,921.2,629,6,22,10
36.5,37,921.2,635,6,22,23
36.5,38,921.2,635,6,22,25
36.5,59,921.2,635,6,22,38
36.5,41,921.2,635,6,22,40
36.52,49,921.1,639,6,22,53
36.52,56,921.1,639,6,22,55
36.52,59,921.2,634,6,23,8
36.52,39,921.2,634,6,23,10
36.52,59,921.1,640,6,23,23
36.52,38,921.1,640,6,23,25
36.53,53,921.2,647,6,23,39
36.53,51,921.2,647,6,23,41
36.53,34,921.2,641,6,23,54
36.53,51,921.2,641,6,23,56
36.53,51,921.2,647,6,24,9
36.53,44,921.2,647,6,24,11
36.53,43,921.2,648,6,24,24
36.53,48,921.2,648,6,24,26
36.53,56,921.2,648,6,24,39
36.53,51,921.2,648,6,24,41
36.52,49,921.2,650,6,24,54
36.52,52,921.2,650,6,24,56
36.52,59,921.1,651,6,25,9
36.52,57,921.1,651,6,25,11
36.52,37,921.2,657,6,25,24
36.52,50,921.2,657,6,25,26
36.52,41,921.2,658,6,25,39
36.52,41,921.2,658,6,25,41
36.52,33,921.2,658,6,25,54
36.52,30,921.2,658,6,25,56
36.53,52,921.2,666,6,26,9
36.53,42,921.2,666,6,26,11
36.53,42,921.2,663,6,26,24
36.53,43,921.2,663,6,26,26
36.54,42,921.2,661,6,26,40
36.54,53,921.2,661,6,26,42
36.54,40,921.2,656,6,26,55
36.55,44,921.2,655,6,26,57
36.55,55,921.2,655,6,27,10
36.55,34,921.2,657,6,27,12
36.55,50,921.2,657,6,27,25
36.57,54,921.2,660,6,27,27
36.57,47,921.2,660,6,27,40
36.59,47,921.2,669,6,27,42
36.59,47,921.2,669,6,27,55
36.61,60,921.2,677,6,27,57
36.61,46,921.2,677,6,28,10
36.62,55,921.2,685,6,28,12
36.62,43,921.2,688,6,28,25
36.62,40,921.2,688,6,28,27
36.63,54,921.2,693,6,28,40
36.63,45,921.2,693,6,28,42
36.63,39,921.2,694,6,28,55
36.63,56,921.2,694,6,28,57
36.64,54,921.2,697,6,29,10
36.64,53,921.2,697,6,29,12
36.64,31,921.2,694,6,29,25
36.64,56,921.2,694,6,29,27
36.66,51,921.2,695,6,29,40
36.66,46,921.2,695,6,29,42
36.66,35,921.2,688,6,29,56
36.66,33,921.2,688,6,29,58
36.66,41,921.3,688,6,30,11
36.66,38,921.3,688,6,30,13
36.66,49,921.2,686,6,30,26
36.66,39,921.2,686,6,30,28
36.68,60,921.2,687,6,30,41
36.68,47,921.2,687,6,30,43
36.68,31,921.2,694,6,30,56
36.68,50,921.2,694,6,30,58
36.68,38,921.2,695,6,31,11
36.68,42,921.2,695,6,31,13
36.7,31,921.2,701,6,31,26
36.7,51,921.2,701,6,31,28
36.7,46,921.2,704,6,31,41
36.7,36,921.2,704,6,31,43
36.71,48,921.2,708,6,31,56
36.71,59,921.2,708,6,31,58
36.71,43,921.2,716,6,32,11
36.71,52,921.2,716,6,32,14
36.71,31,921.2,714,6,32,27
36.71,44,921.2,714,6,32,29
36.73,54,921.2,719,6,32,42
36.73,45,921.2,719,6,32,44
36.73,60,921.3,722,6,32,57
36.73,46,921.3,722,6,32,59
36.73,43,921.3,719,6,33,12
36.73,41,921.3,719,6,33,14
36.73,50,921.2,724,6,33,27
36.73,31,921.2,724,6,33,29
36.73,38,921.2,726,6,33,42
36.73,53,921.2,726,6,33,44
36.75,50,921.3,718,6,33,57
36.75,57,921.3,718,6,33,59
36.73,40,921.2,719,6,34,12
36.73,35,921.2,719,6,34,14
36.73,39,921.2,722,6,34,27
36.73,57,921.2,722,6,34,29
36.73,37,921.3,728,6,34,42
36.73,45,921.3,728,6,34,44
36.73,44,921.2,728,6,34,57
36.73,31,921.2,728,6,34,59
36.73,55,921.2,731,6,35,12
36.73,47,921.2,731,6,35,14
36.73,49,921.3,737,6,35,27
36.73,51,921.3,737,6,35,29
36.73,49,921.2,741,6,35,42
36.73,59,921.2,741,6,35,45
36.73,34,921.3,742,6,35,58
36.73,60,921.3,742,6,36,0
36.75,60,921.3,739,6,36,13
36.75,42,921.3,739,6,36,15
36.75,56,921.2,738,6,36,28
36.75,30,921.2,738,6,36,30
36.75,35,921.2,740,6,36,43
36.77,46,921.2,743,6,36,45
36.77,56,921.2,743,6,36,58
36.77,55,921.3,741,6,37,0
36.77,58,921.3,741,6,37,13
36.79,59,921.3,741,6,37,15
36.79,40,921.3,741,6,37,28
36.82,60,921.2,741,6,37,30
36.82,33,921.2,741,6,37,43
36.82,40,921.3,737,6,37,45
36.82,54,921.3,737,6,37,58
36.82,40,921.3,737,6,38,0
36.82,45,921.3,735,6,38,13
36.82,30,921.3,735,6,38,15
36.82,34,921.3,735,6,38,28
36.82,43,921.3,735,6,38,30
36.84,50,921.3,735,6,38,43
36.84,33,921.3,735,6,38,45
36.84,53,921.3,740,6,38,58
36.84,49,921.3,740,6,39,1
36.84,55,921.3,742,6,39,14
36.84,36,921.3,742,6,39,16
36.84,36,921.3,747,6,39,29
36.84,38,921.3,747,6,39,31
36.84,47,921.3,751,6,39,44
36.84,36,921.3,751,6,39,46
36.84,36,921.3,754,6,39,59
36.84,48,921.3,754,6,40,1
36.84,53,921.3,755,6,40,14
36.84,58,921.3,755,6,40,16
36.84,52,921.3,760,6,40,29
36.84,41,921.3,760,6,40,31
36.84,57,921.3,765,6,40,44
36.84,31,921.3,765,6,40,46
36.84,33,921.3,773,6,40,59
36.84,58,921.3,773,6,41,1
36.84,42,921.3,776,6,41,14
36.84,58,921.3,776,6,41,16
36.84,59,921.3,777,6,41,29
36.84,43,921.3,777,6,41,31
36.84,32,921.3,777,6,41,44
36.84,37,921.3,777,6,41,46
36.84,34,921.3,783,6,41,59
