Temperature,Humidity,Pressure,Co2,Hour,Minute,Second
35.64,56,923.3,547,6,2,3
35.64,51,923.3,547,6,2,4
35.64,39,923.3,540,6,2,18
35.64,51,923.3,540,6,2,19
35.68,32,923.3,543,6,2,33
35.68,44,923.3,543,6,2,34
35.68,36,923.3,547,6,2,49
35.68,57,923.3,547,6,2,50
35.71,52,923.3,551,6,3,4
35.71,43,923.3,551,6,3,5
35.73,40,923.3,547,6,3,19
35.73,60,923.3,547,6,3,20
35.73,46,923.3,543,6,3,34
35.73,53,923.3,543,6,3,35
35.75,50,923.3,544,6,3,49
35.75,41,923.3,544,6,3,50
35.75,35,923.3,542,6,4,4
35.75,38,923.3,542,6,4,5
35.77,58,923.3,543,6,4,19
35.77,46,923.3,543,6,4,20
35.77,48,923.3,542,6,4,34
35.77,52,923.3,542,6,4,35
35.77,55,923.3,540,6,4,49
35.77,35,923.3,540,6,4,50
35.77,38,923.3,539,6,5,4
35.77,39,923.3,539,6,5,5
35.77,46,923.3,537,6,5,20
35.77,53,923.3,537,6,5,21
35.75,46,923.3,537,6,5,35
35.75,32,923.3,537,6,5,36
35.75,42,923.3,544,6,5,50
35.75,34,923.3,544,6,5,51
35.75,38,923.3,543,6,6,5
35.75,43,923.3,543,6,6,6
35.73,54,923.3,542,6,6,20
35.73,36,923.3,542,6,6,21
35.73,30,923.3,536,6,6,35
35.73,55,923.3,536,6,6,36
35.73,60,923.3,540,6,6,50
35.73,53,923.3,540,6,6,51
35.75,41,923.3,545,6,7,5
35.75,59,923.3,545,6,7,6
35.75,30,923.3,545,6,7,20
35.75,40,923.3,545,6,7,21
35.75,59,923.3,548,6,7,35
35.75,59,923.3,548,6,7,36
35.77,39,923.3,547,6,7,51
35.78,49,923.3,547,6,7,51
35.78,49,923.3,547,6,8,6
35.79,41,923.3,543,6,8,7
35.79,49,923.3,543,6,8,21
35.8,58,923.3,540,6,8,22
35.8,46,923.3,537,6,8,36
35.8,45,923.3,537,6,8,37
35.8,39,923.3,536,6,8,51
35.8,34,923.3,536,6,8,52
35.8,42,923.3,536,6,9,6
35.8,36,923.3,536,6,9,7
35.8,60,923.3,538,6,9,21
35.8,35,923.3,538,6,9,22
35.8,55,923.3,535,6,9,36
35.8,38,923.3,535,6,9,37
35.8,60,923.3,535,6,9,51
35.8,33,923.3,535,6,9,52
35.8,52,923.3,536,6,10,6
35.8,50,923.3,536,6,10,7
35.8,57,923.3,535,6,10,21
35.8,57,923.3,535,6,10,22
35.82,52,923.3,532,6,10,36
35.82,46,923.3,532,6,10,38
35.8,48,923.3,529,6,10,52
35.8,33,923.3,529,6,10,53
35.82,36,923.3,528,6,11,7
35.82,53,923.3,528,6,11,8
35.82,45,923.3,532,6,11,22
35.82,42,923.3,532,6,11,23
35.8,35,923.3,538,6,11,37
35.8,38,923.3,538,6,11,38
35.8,53,923.3,539,6,11,52
35.8,53,923.3,539,6,11,53
35.8,47,923.4,537,6,12,7
35.8,44,923.4,537,6,12,8
35.82,60,923.3,542,6,12,22
35.82,31,923.3,542,6,12,23
35.82,60,923.4,541,6,12,37
35.82,60,923.4,541,6,12,38
35.82,48,923.4,539,6,12,52
35.82,32,923.4,539,6,12,53
35.82,48,923.3,541,6,13,7
35.82,56,923.3,541,6,13,8
35.82,42,923.4,539,6,13,23
35.82,58,923.4,539,6,13,24
35.82,34,923.4,541,6,13,38
35.82,47,923.4,541,6,13,39
35.82,37,923.4,538,6,13,53
35.82,55,923.4,538,6,13,54
35.82,47,923.4,536,6,14,8
35.82,57,923.4,536,6,14,9
35.82,41,923.3,540,6,14,23
35.82,43,923.3,540,6,14,24
35.82,38,923.4,540,6,14,38
35.82,45,923.4,540,6,14,39
35.82,35,923.4,545,6,14,53
35.82,56,923.4,545,6,14,54
35.82,43,923.4,544,6,15,8
35.82,40,923.4,544,6,15,9
35.82,43,923.4,544,6,15,23
35.82,54,923.4,544,6,15,24
35.82,40,923.4,547,6,15,38
35.82,37,923.4,547,6,15,39
35.8,47,923.4,548,6,15,53
35.8,32,923.4,548,6,15,54
35.8,49,923.4,549,6,16,9
35.8,44,923.4,549,6,16,10
35.8,44,923.4,551,6,16,24
35.8,47,923.4,551,6,16,25
35.8,59,923.4,558,6,16,39
35.8,30,923.4,558,6,16,40
35.82,44,923.4,563,6,16,54
35.82,49,923.4,563,6,16,55
35.82,37,923.4,562,6,17,9
35.82,49,923.4,562,6,17,10
35.82,57,923.4,561,6,17,24
35.84,57,923.4,559,6,17,25
35.84,30,923.4,559,6,17,39
35.87,44,923.4,565,6,17,40
35.87,43,923.4,565,6,17,54
35.87,44,923.4,564,6,17,55
35.88,35,923.3,564,6,18,9
35.88,45,923.3,564,6,18,10
35.89,37,923.4,566,6,18,24
35.89,36,923.4,566,6,18,25
35.89,47,923.3,573,6,18,39
35.89,32,923.3,573,6,18,41
35.89,41,923.3,580,6,18,55
35.89,59,923.3,580,6,18,56
35.89,45,923.3,583,6,19,10
35.89,53,923.3,583,6,19,11
35.91,31,923.4,579,6,19,25
35.91,30,923.4,579,6,19,26
35.91,36,923.3,577,6,19,40
35.91,54,923.3,577,6,19,41
35.91,56,923.3,581,6,19,55
35.91,51,923.3,581,6,19,56
35.91,41,923.3,584,6,20,10
35.91,50,923.3,584,6,20,11
35.91,40,923.3,590,6,20,25
35.91,54,923.3,590,6,20,26
35.91,52,923.3,592,6,20,40
35.91,47,923.3,592,6,20,41
35.91,49,923.4,592,6,20,55
35.91,42,923.4,592,6,20,56
35.91,30,923.4,592,6,21,10
35.91,30,923.4,592,6,21,11
35.91,30,923.3,594,6,21,25
35.91,43,923.3,594,6,21,26
35.91,38,923.4,593,6,21,40
35.91,32,923.4,593,6,21,41
35.91,30,923.3,605,6,21,55
35.91,44,923.3,605,6,21,56
35.91,39,923.3,609,6,22,11
35.91,46,923.3,609,6,22,12
35.91,55,923.3,612,6,22,26
35.91,38,923.3,612,6,22,27
35.91,41,923.3,623,6,22,41
35.91,34,923.3,623,6,22,42
35.91,33,923.3,621,6,22,56
35.91,60,923.3,621,6,22,57
35.91,57,923.3,623,6,23,11
35.91,41,923.3,623,6,23,12
35.91,41,923.3,629,6,23,26
35.91,60,923.3,629,6,23,27
35.91,38,923.3,634,6,23,41
35.91,30,923.3,634,6,23,42
35.93,43,923.3,640,6,23,56
35.93,55,923.3,640,6,23,57
35.93,51,923.3,644,6,24,11
35.93,57,923.3,644,6,24,12
35.93,46,923.3,649,6,24,26
35.93,53,923.3,649,6,24,27
35.93,36,923.3,653,6,24,41
35.93,34,923.3,653,6,24,42
35.93,33,923.3,663,6,24,57
35.93,35,923.3,663,6,24,58
35.93,59,923.3,667,6,25,12
35.93,45,923.3,667,6,25,13
35.93,43,923.3,672,6,25,27
35.93,47,923.3,672,6,25,28
35.93,42,923.3,674,6,25,42
35.93,37,923.3,674,6,25,43
35.93,35,923.3,681,6,25,57
35.93,47,923.3,681,6,25,58
35.93,35,923.3,682,6,26,12
35.93,42,923.3,682,6,26,13
35.93,40,923.3,687,6,26,27
35.93,37,923.3,687,6,26,28
35.93,44,923.3,690,6,26,42
35.93,55,923.3,690,6,26,43
35.93,35,923.3,689,6,26,57
35.93,41,923.3,689,6,26,58
35.93,60,923.3,690,6,27,12
35.96,39,923.4,689,6,27,13
35.96,39,923.4,689,6,27,27
35.96,46,923.3,688,6,27,28
35.96,32,923.4,687,6,27,43
35.96,37,923.4,687,6,27,44
35.96,49,923.3,687,6,27,58
35.96,46,923.3,687,6,27,59
35.98,35,923.3,687,6,28,13
35.98,46,923.3,687,6,28,14
35.98,58,923.3,685,6,28,28
35.98,39,923.3,685,6,28,29
35.98,49,923.4,694,6,28,43
35.98,43,923.4,694,6,28,44
36.0,47,923.3,690,6,28,58
36.0,59,923.3,690,6,28,59
36.0,33,923.3,683,6,29,13
36.0,48,923.3,683,6,29,14
36.0,55,923.3,683,6,29,28
36.0,58,923.3,683,6,29,29
36.0,37,923.3,678,6,29,43
36.0,39,923.3,678,6,29,44
36.0,55,923.3,671,6,29,58
36.0,50,923.3,671,6,30,0
36.02,32,923.3,666,6,30,14
36.02,41,923.3,666,6,30,15
36.03,49,923.3,664,6,30,29
36.03,49,923.3,664,6,30,30
36.03,55,923.3,662,6,30,44
36.03,60,923.3,662,6,30,45
36.04,47,923.3,666,6,30,59
36.04,40,923.3,666,6,31,0
36.04,37,923.3,667,6,31,14
36.04,55,923.3,667,6,31,15
36.05,35,923.3,671,6,31,29
36.05,49,923.3,671,6,31,30
36.05,32,923.4,674,6,31,44
36.05,47,923.4,674,6,31,45
36.05,43,923.3,674,6,31,59
36.05,54,923.3,674,6,32,0
36.05,31,923.3,681,6,32,14
36.05,36,923.3,681,6,32,15
36.05,37,923.3,685,6,32,29
36.05,50,923.3,685,6,32,30
36.07,45,923.4,690,6,32,45
36.07,59,923.4,690,6,32,46
36.07,47,923.3,690,6,33,0
36.07,51,923.3,690,6,33,1
36.07,36,923.3,693,6,33,15
36.07,52,923.3,693,6,33,16
36.07,51,923.3,691,6,33,30
36.07,53,923.3,691,6,33,31
36.07,40,923.4,695,6,33,45
36.07,49,923.4,695,6,33,46
36.07,44,923.4,698,6,34,0
36.07,57,923.4,698,6,34,1
36.05,52,923.3,693,6,34,15
36.05,33,923.3,693,6,34,16
36.05,30,923.3,690,6,34,30
36.05,45,923.3,690,6,34,31
36.05,59,923.4,689,6,34,45
36.05,36,923.4,689,6,34,46
36.04,43,923.4,686,6,35,0
36.04,32,923.4,686,6,35,1
36.04,46,923.3,687,6,35,15
36.04,52,923.3,687,6,35,16
36.03,56,923.4,687,6,35,31
36.03,48,923.4,687,6,35,32
36.04,60,923.4,686,6,35,46
36.04,35,923.4,686,6,35,47
36.05,52,923.4,690,6,36,1
36.05,57,923.4,690,6,36,2
36.05,34,923.4,696,6,36,16
36.05,34,923.4,696,6,36,17
36.05,47,923.4,692,6,36,31
36.09,39,923.4,694,6,36,32
36.09,50,923.4,694,6,36,46
36.09,53,923.4,697,6,36,47
36.11,51,923.4,704,6,37,1
36.11,55,923.4,704,6,37,2
36.11,45,923.4,710,6,37,16
36.11,53,923.4,710,6,37,17
36.12,53,923.4,714,6,37,31
36.12,39,923.4,714,6,37,32
36.12,43,923.4,719,6,37,46
36.12,55,923.4,719,6,37,47
36.12,53,923.4,723,6,38,1
36.12,58,923.4,723,6,38,2
36.12,57,923.4,731,6,38,16
36.12,37,923.4,731,6,38,18
36.13,36,923.4,730,6,38,32
36.13,51,923.4,730,6,38,33
36.13,40,923.4,730,6,38,47
36.13,54,923.4,730,6,38,48
36.14,45,923.4,726,6,39,2
36.14,36,923.4,726,6,39,3
36.14,46,923.4,722,6,39,17
36.14,35,923.4,722,6,39,18
36.14,60,923.4,725,6,39,32
36.14,47,923.4,725,6,39,33
36.14,44,923.4,739,6,39,47
36.14,54,923.4,739,6,39,48
36.14,43,923.4,745,6,40,2
36.14,51,923.4,745,6,40,3
36.14,39,923.4,747,6,40,17
36.14,47,923.4,747,6,40,18
36.14,52,923.4,754,6,40,32
36.14,56,923.4,754,6,40,33
36.14,48,923.4,762,6,40,47
36.14,46,923.4,762,6,40,48
36.14,51,923.4,773,6,41,2
36.14,51,923.4,773,6,41,3
36.16,53,923.4,779,6,41,17
36.16,52,923.4,779,6,41,18
36.16,43,923.4,782,6,41,32
36.16,41,923.4,782,6,41,33
36.16,52,923.4,787,6,41,47
36.16,48,923.4,787,6,41,49
36.16,54,923.4,788,6,42,3
36.16,47,923.4,788,6,42,4
36.18,60,923.4,796,6,42,18
36.18,31,923.4,796,6,42,19
36.18,39,923.4,796,6,42,33
36.18,52,923.4,796,6,42,34
36.18,52,923.4,801,6,42,48
36.18,33,923.4,801,6,42,49
36.18,56,923.4,805,6,43,3
36.18,42,923.4,805,6,43,4
36.18,41,923.4,806,6,43,18
36.18,32,923.4,806,6,43,19
36.2,44,923.4,812,6,43,33
36.2,47,923.4,812,6,43,34
36.2,35,923.4,815,6,43,48
36.2,55,923.4,815,6,43,49
36.2,60,923.4,817,6,44,3
36.2,45,923.4,817,6,44,4
36.21,43,923.5,813,6,44,18
36.21,46,923.5,813,6,44,19
36.21,58,923.4,811,6,44,33
36.21,60,923.4,811,6,44,34
36.2,45,923.4,815,6,44,48
36.2,37,923.4,815,6,44,50
36.21,42,923.4,820,6,45,4
36.21,48,923.4,820,6,45,5
36.21,59,923.4,833,6,45,19
36.21,44,923.4,833,6,45,20
36.23,34,923.4,840,6,45,34
36.23,34,923.4,840,6,45,35
36.23,55,923.4,852,6,45,49
36.23,54,923.4,852,6,45,50
36.23,48,923.4,858,6,46,4
36.23,38,923.4,858,6,46,5
36.25,60,923.4,859,6,46,19
36.27,49,923.4,863,6,46,20
36.27,48,923.4,863,6,46,34
36.29,59,923.4,869,6,46,35
36.29,58,923.4,869,6,46,49
36.29,41,923.4,924,6,46,50
36.3,38,923.4,909,6,47,4
36.3,32,923.4,909,6,47,5
36.3,56,923.4,894,6,47,19
36.3,35,923.4,894,6,47,20
36.32,57,923.4,885,6,47,34
36.32,39,923.4,885,6,47,35
36.32,47,923.4,881,6,47,49
36.32,50,923.4,881,6,47,50
36.32,53,923.4,877,6,48,4
36.32,51,923.4,877,6,48,5
36.32,30,923.5,890,6,48,20
36.32,55,923.5,890,6,48,21
36.32,59,923.4,902,6,48,35
36.32,30,923.4,902,6,48,36
36.32,47,923.4,906,6,48,50
36.32,51,923.4,906,6,48,51
36.32,34,923.4,909,6,49,5
36.32,40,923.4,909,6,49,6
36.32,53,923.4,916,6,49,20
36.32,35,923.4,916,6,49,21
36.32,58,923.5,922,6,49,35
36.32,30,923.5,922,6,49,36
36.32,60,923.5,919,6,49,50
36.32,50,923.5,919,6,49,51
36.34,45,923.5,924,6,50,5
36.34,42,923.5,924,6,50,6
36.34,34,923.5,932,6,50,20
36.34,46,923.5,932,6,50,21
36.34,38,923.5,935,6,50,35
36.34,52,923.5,935,6,50,36
36.34,50,923.4,938,6,50,50
36.34,40,923.4,938,6,50,51
36.34,31,923.5,945,6,51,5
36.34,36,923.5,945,6,51,6
36.34,46,923.4,946,6,51,20
36.34,44,923.4,946,6,51,21
36.34,39,923.4,959,6,51,35
36.34,41,923.4,959,6,51,37
36.36,39,923.5,965,6,51,51
36.36,35,923.5,965,6,51,52
36.37,46,923.5,976,6,52,6
36.37,58,923.5,976,6,52,7
36.37,53,923.5,984,6,52,21
36.37,49,923.5,984,6,52,22
36.38,31,923.5,988,6,52,36
36.38,43,923.5,988,6,52,37
36.38,44,923.5,994,6,52,51
36.38,52,923.5,994,6,52,52
36.38,38,923.4,1002,6,53,6
36.38,33,923.4,1002,6,53,7
36.38,54,923.5,1013,6,53,21
36.38,52,923.5,1013,6,53,22
36.38,32,923.5,1018,6,53,36
36.38,38,923.5,1018,6,53,37
36.39,41,923.5,1029,6,53,51
36.39,50,923.5,1029,6,53,52
36.39,43,923.5,1038,6,54,6
36.39,44,923.5,1038,6,54,7
36.38,34,923.5,1048,6,54,22
36.38,36,923.5,1048,6,54,23
36.38,43,923.5,1059,6,54,37
36.38,39,923.5,1059,6,54,38
36.39,40,923.5,1067,6,54,52
36.39,53,923.5,1067,6,54,53
36.39,40,923.5,1076,6,55,7
36.39,54,923.5,1076,6,55,8
36.41,30,923.6,1089,6,55,22
36.41,60,923.6,1089,6,55,23
36.41,33,923.5,1098,6,55,37
36.41,47,923.5,1098,6,55,38
36.43,60,923.6,1106,6,55,52
36.45,51,923.6,1119,6,55,53
36.45,55,923.6,1119,6,56,7
36.46,55,923.6,1127,6,56,8
36.46,59,923.6,1127,6,56,22
36.48,31,923.6,1134,6,56,23
36.48,47,923.6,1139,6,56,37
36.48,50,923.6,1139,6,56,38
36.48,47,923.6,1136,6,56,52
36.48,48,923.6,1136,6,56,53
36.48,41,923.5,1134,6,57,7
36.48,32,923.5,1134,6,57,9
36.48,42,923.5,1131,6,57,23
36.48,49,923.5,1131,6,57,24
36.5,36,923.6,1130,6,57,38
36.5,39,923.6,1130,6,57,39
36.5,57,923.6,1130,6,57,53
36.5,55,923.6,1130,6,57,54
36.52,59,923.6,1134,6,58,8
36.52,59,923.6,1134,6,58,9
36.52,32,923.6,1134,6,58,23
36.52,58,923.6,1134,6,58,24
36.53,35,923.6,1134,6,58,38
36.53,56,923.6,1134,6,58,39
36.54,45,923.6,1137,6,58,53
36.54,39,923.6,1137,6,58,54
36.55,38,923.7,1135,6,59,8
36.55,56,923.7,1135,6,59,9
36.55,52,923.6,1139,6,59,23
36.55,44,923.6,1139,6,59,24
36.55,59,923.6,1149,6,59,38
36.55,41,923.6,1149,6,59,39
36.55,51,923.7,1153,6,59,53
36.55,56,923.7,1153,6,59,54
36.55,47,923.6,1155,7,0,9
36.55,47,923.6,1155,7,0,10
36.55,30,923.6,1157,7,0,24
36.55,37,923.6,1157,7,0,25
36.55,58,923.6,1162,7,0,39
36.55,51,923.6,1162,7,0,40
36.55,44,923.6,1168,7,0,54
36.55,47,923.6,1168,7,0,55
36.55,46,923.6,1171,7,1,9
36.55,57,923.6,1171,7,1,10
36.55,45,923.6,1176,7,1,24
36.55,59,923.6,1176,7,1,25
36.55,37,923.6,1178,7,1,39
36.55,53,923.6,1178,7,1,40
36.57,52,923.6,1182,7,1,54
36.57,59,923.6,1182,7,1,55
36.57,48,923.6,1181,7,2,9
36.57,34,923.6,1181,7,2,10
36.57,35,923.7,1184,7,2,24
36.57,41,923.7,1184,7,2,25
36.57,40,923.6,1185,7,2,40
36.57,44,923.6,1185,7,2,41
36.57,40,923.7,1180,7,2,55
36.57,45,923.7,1180,7,2,56
36.57,59,923.7,1177,7,3,10
36.57,31,923.7,1177,7,3,11
36.57,53,923.7,1174,7,3,25
36.57,34,923.7,1174,7,3,26
36.57,43,923.7,1177,7,3,40
36.57,48,923.7,1177,7,3,41
36.57,37,923.7,1181,7,3,55
36.57,47,923.7,1181,7,3,56
36.57,42,923.7,1183,7,4,10
36.57,31,923.7,1183,7,4,11
36.57,31,923.7,1185,7,4,25
36.57,39,923.7,1185,7,4,26
36.57,49,923.7,1187,7,4,40
36.57,32,923.7,1187,7,4,41
36.59,47,923.7,1191,7,4,55
36.59,50,923.7,1191,7,4,56
36.59,57,923.7,1193,7,5,10
36.59,54,923.7,1193,7,5,11
36.59,50,923.7,1189,7,5,26
36.61,60,923.7,1192,7,5,27
36.61,53,923.7,1192,7,5,41
36.61,39,923.7,1187,7,5,42
36.62,39,923.7,1184,7,5,56
36.62,49,923.7,1184,7,5,57
36.62,45,923.7,1186,7,6,11
36.62,47,923.7,1186,7,6,12
36.62,52,923.7,1185,7,6,26
36.62,57,923.7,1185,7,6,27
36.64,34,923.7,1188,7,6,41
36.64,40,923.7,1188,7,6,42
36.61,45,923.7,1185,7,6,56
36.61,41,923.7,1185,7,6,57
36.64,51,923.7,1190,7,7,11
36.64,48,923.7,1190,7,7,12
36.64,46,923.7,1190,7,7,26
36.64,39,923.7,1190,7,7,27
36.66,50,923.7,1190,7,7,41
36.66,41,923.7,1190,7,7,42
36.66,46,923.7,1197,7,7,57
36.66,35,923.7,1197,7,7,57
36.66,44,923.7,1195,7,8,12
36.66,42,923.7,1195,7,8,13
36.66,51,923.7,1193,7,8,27
36.66,44,923.7,1193,7,8,28
36.66,31,923.7,1196,7,8,42
36.66,48,923.7,1196,7,8,43
36.66,38,923.7,1192,7,8,57
36.66,41,923.7,1192,7,8,58
36.68,37,923.7,1194,7,9,12
36.68,40,923.7,1194,7,9,13
36.68,30,923.7,1195,7,9,27
36.68,43,923.7,1195,7,9,28
36.68,35,923.7,1199,7,9,42
36.68,54,923.7,1199,7,9,43
36.7,36,923.7,1197,7,9,57
36.7,60,923.7,1197,7,9,58
36.7,40,923.7,1201,7,10,12
36.7,57,923.7,1201,7,10,13
36.71,33,923.7,1207,7,10,27
36.71,34,923.7,1207,7,10,28
36.71,56,923.7,1211,7,10,42
36.71,54,923.7,1211,7,10,43
36.73,60,923.7,1209,7,10,58
36.73,47,923.7,1209,7,10,59
36.73,51,923.7,1206,7,11,13
36.73,36,923.7,1206,7,11,14
36.73,51,923.7,1208,7,11,28
36.73,34,923.7,1208,7,11,29
36.73,50,923.8,1213,7,11,43
36.73,45,923.8,1213,7,11,44
36.73,43,923.8,1224,7,11,58
36.73,46,923.8,1224,7,11,59
36.73,57,923.8,1227,7,12,13
36.73,53,923.8,1227,7,12,14
36.73,31,923.8,1233,7,12,28
36.73,39,923.8,1233,7,12,29
36.73,58,923.8,1230,7,12,43
36.73,36,923.8,1230,7,12,44
36.71,48,923.7,1231,7,12,58
36.71,54,923.7,1231,7,12,59
36.71,44,923.7,1223,7,13,13
36.71,47,923.7,1223,7,13,14
36.71,56,923.7,1219,7,13,29
36.71,42,923.7,1219,7,13,30
36.73,41,923.7,1209,7,13,44
36.73,31,923.7,1209,7,13,45
36.73,35,923.7,1203,7,13,59
